date,session_key,meeting_key,driver_number,interval,gap_to_leader
2026-03-08T04:03:34.406000+00:00,11234,1279,16,,0.116
2026-03-08T04:03:36.210000+00:00,11234,1279,16,0.032,0.032
2026-03-08T04:03:41.592000+00:00,11234,1279,16,0.0,0.0
2026-03-08T04:04:58.535000+00:00,11234,1279,16,0.0,0.0
2026-03-08T04:05:57.165000+00:00,11234,1279,16,0.012,0.012
2026-03-08T04:06:01.444000+00:00,11234,1279,16,0.244,0.244
2026-03-08T04:06:07.346000+00:00,11234,1279,16,0.25,0.25
2026-03-08T04:06:10.897000+00:00,11234,1279,16,0.397,0.397
2026-03-08T04:06:14.692000+00:00,11234,1279,16,0.353,0.353
2026-03-08T04:06:16.852000+00:00,11234,1279,16,0.332,0.332
2026-03-08T04:06:18.916000+00:00,11234,1279,16,0.456,0.456
2026-03-08T04:06:24.112000+00:00,11234,1279,16,0.464,0.464
2026-03-08T04:06:24.758000+00:00,11234,1279,16,0.44,0.44
2026-03-08T04:06:27.450000+00:00,11234,1279,16,0.259,0.259
2026-03-08T04:06:29.125000+00:00,11234,1279,16,0.302,0.302
2026-03-08T04:06:33.914000+00:00,11234,1279,16,0.481,0.481
2026-03-08T04:06:37.568000+00:00,11234,1279,16,0.447,0.447
2026-03-08T04:06:40.850000+00:00,11234,1279,16,0.369,0.369
2026-03-08T04:06:44.611000+00:00,11234,1279,16,0.442,0.442
2026-03-08T04:06:49.605000+00:00,11234,1279,16,0.554,0.554
2026-03-08T04:06:52.399000+00:00,11234,1279,16,0.578,0.578
2026-03-08T04:06:54.550000+00:00,11234,1279,16,0.705,0.705
2026-03-08T04:06:58.500000+00:00,11234,1279,16,0.924,0.924
2026-03-08T04:07:01.778000+00:00,11234,1279,16,0.885,0.885
2026-03-08T04:07:05.528000+00:00,11234,1279,16,0.71,0.71
2026-03-08T04:07:09.279000+00:00,11234,1279,16,0.39,0.39
2026-03-08T04:07:12.521000+00:00,11234,1279,16,0.099,0.099
2026-03-08T04:07:17.556000+00:00,11234,1279,16,0.0,0.0
2026-03-08T04:07:50.269000+00:00,11234,1279,16,0.0,0.0
2026-03-08T04:09:14.885000+00:00,11234,1279,16,0.0,0.0
2026-03-08T04:10:38.781000+00:00,11234,1279,16,0.0,0.0
2026-03-08T04:12:03.576000+00:00,11234,1279,16,0.0,0.0
2026-03-08T04:13:27.625000+00:00,11234,1279,16,0.0,0.0
2026-03-08T04:13:47.993000+00:00,11234,1279,16,0.28,0.28
2026-03-08T04:13:53.049000+00:00,11234,1279,16,0.425,0.425
2026-03-08T04:13:55.779000+00:00,11234,1279,16,0.457,0.457
2026-03-08T04:13:57.774000+00:00,11234,1279,16,0.362,0.362
2026-03-08T04:14:01.569000+00:00,11234,1279,16,0.43,0.43
2026-03-08T04:14:04.886000+00:00,11234,1279,16,0.515,0.515
2026-03-08T04:14:08.815000+00:00,11234,1279,16,0.439,0.439
2026-03-08T04:14:12.493000+00:00,11234,1279,16,0.196,0.196
2026-03-08T04:14:15.724000+00:00,11234,1279,16,0.0,0.0
2026-03-08T04:14:53.168000+00:00,11234,1279,16,0.0,0.0
2026-03-08T04:14:57.577000+00:00,11234,1279,16,0.117,0.117
2026-03-08T04:15:02.777000+00:00,11234,1279,16,0.0,0.0
2026-03-08T04:16:18.791000+00:00,11234,1279,16,0.0,0.0
2026-03-08T04:17:42.788000+00:00,11234,1279,16,0.0,0.0
2026-03-08T04:19:06.558000+00:00,11234,1279,16,0.0,0.0
2026-03-08T04:21:00.558000+00:00,11234,1279,16,0.0,0.0
2026-03-08T04:22:55.714000+00:00,11234,1279,16,0.0,0.0
2026-03-08T04:24:26.235000+00:00,11234,1279,16,0.0,0.0
2026-03-08T04:25:49.997000+00:00,11234,1279,16,0.0,0.0
2026-03-08T04:27:13.545000+00:00,11234,1279,16,0.0,0.0
2026-03-08T04:28:37.842000+00:00,11234,1279,16,0.0,0.0
2026-03-08T04:30:07.444000+00:00,11234,1279,16,0.0,0.0
2026-03-08T04:32:01.133000+00:00,11234,1279,16,0.0,0.0
2026-03-08T04:33:34.299000+00:00,11234,1279,16,0.0,0.0
2026-03-08T04:34:57.610000+00:00,11234,1279,16,0.0,0.0
2026-03-08T04:36:21.050000+00:00,11234,1279,16,0.0,0.0
2026-03-08T04:37:44.550000+00:00,11234,1279,16,0.0,0.0
2026-03-08T04:39:08.161000+00:00,11234,1279,16,0.0,0.0
2026-03-08T04:40:52.425000+00:00,11234,1279,16,5.198,15.526
2026-03-08T04:40:54.270000+00:00,11234,1279,16,5.629,16.008
2026-03-08T04:41:00.441000+00:00,11234,1279,16,6.962,17.268
2026-03-08T04:41:04.127000+00:00,11234,1279,16,7.16,17.364
2026-03-08T04:41:07.612000+00:00,11234,1279,16,7.373,17.529
2026-03-08T04:41:11.331000+00:00,11234,1279,16,7.489,17.627
2026-03-08T04:41:16.326000+00:00,11234,1279,16,7.693,17.691
2026-03-08T04:41:19.059000+00:00,11234,1279,16,7.661,17.698
2026-03-08T04:41:21.057000+00:00,11234,1279,16,7.601,17.597
