meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,qualifying_phase,message
1279,11234,2026-03-08T03:08:08+00:00,,0,Other,,,,,PINK HEAD PADDING MATERIAL MUST BE USED
1279,11234,2026-03-08T03:20:00+00:00,,1,Flag,GREEN,Track,,,GREEN LIGHT - PIT EXIT OPEN
1279,11234,2026-03-08T03:21:22+00:00,,1,Flag,DOUBLE YELLOW,Sector,6.0,,DOUBLE YELLOW IN TRACK SECTOR 6
1279,11234,2026-03-08T03:21:25+00:00,,1,Flag,CLEAR,Sector,6.0,,CLEAR IN TRACK SECTOR 6
1279,11234,2026-03-08T03:21:26+00:00,,1,Flag,YELLOW,Sector,7.0,,YELLOW IN TRACK SECTOR 7
1279,11234,2026-03-08T03:21:50+00:00,,1,Flag,DOUBLE YELLOW,Sector,6.0,,DOUBLE YELLOW IN TRACK SECTOR 6
1279,11234,2026-03-08T03:21:51+00:00,,1,Flag,DOUBLE YELLOW,Sector,7.0,,DOUBLE YELLOW IN TRACK SECTOR 7
1279,11234,2026-03-08T03:21:59+00:00,,1,Other,,,,,MEDICAL CAR DEPLOYED
1279,11234,2026-03-08T03:29:59+00:00,,1,Flag,YELLOW,Sector,20.0,,YELLOW IN TRACK SECTOR 20
1279,11234,2026-03-08T03:30:00+00:00,,1,Other,,,,,PIT EXIT CLOSED
1279,11234,2026-03-08T03:30:15+00:00,,1,Flag,DOUBLE YELLOW,Sector,20.0,,DOUBLE YELLOW IN TRACK SECTOR 20
1279,11234,2026-03-08T03:30:25+00:00,,1,Flag,CLEAR,Sector,20.0,,CLEAR IN TRACK SECTOR 20
1279,11234,2026-03-08T03:32:26+00:00,,1,Flag,CLEAR,Sector,20.0,,CLEAR IN TRACK SECTOR 20
1279,11234,2026-03-08T03:33:13+00:00,,1,Other,,,,,INCIDENT INVOLVING CAR 27 (HUL) NOTED - STARTING PROCEDURE INFRINGEMENT
1279,11234,2026-03-08T03:37:53+00:00,,1,Flag,CLEAR,Sector,7.0,,CLEAR IN TRACK SECTOR 7
1279,11234,2026-03-08T03:37:54+00:00,,1,Flag,CLEAR,Sector,6.0,,CLEAR IN TRACK SECTOR 6
1279,11234,2026-03-08T03:38:40+00:00,,1,Other,,,,,FIA STEWARDS: INCIDENT INVOLVING CAR 27 (HUL) UNDER INVESTIGATION - STARTING PROCEDURE INFRINGEMENT
1279,11234,2026-03-08T03:40:23+00:00,,1,Flag,DOUBLE YELLOW,Sector,15.0,,DOUBLE YELLOW IN TRACK SECTOR 15
1279,11234,2026-03-08T03:40:40+00:00,,1,Flag,CLEAR,Sector,15.0,,CLEAR IN TRACK SECTOR 15
1279,11234,2026-03-08T03:45:10+00:00,,1,Other,,,,,RISK OF RAIN FOR THE F1 RACE IS 0%
1279,11234,2026-03-08T03:55:31+00:00,,1,Other,,,,,FIA STEWARDS: INCIDENT INVOLVING CAR 27 (HUL) NO FURTHER ACTION - STARTING PROCEDURE INFRINGEMENT
1279,11234,2026-03-08T03:57:02+00:00,,1,Other,,,,,OVERTAKE DISABLED
1279,11234,2026-03-08T04:01:21+00:00,,1,Other,,,,,INCIDENT INVOLVING CAR 43 (COL) NOTED - STARTING PROCEDURE INFRINGEMENT
1279,11234,2026-03-08T04:03:26.365000+00:00,,1,SessionStatus,,,,,SESSION STARTED
1279,11234,2026-03-08T04:03:26+00:00,,1,Flag,GREEN,Track,,,GREEN LIGHT - PIT EXIT OPEN
1279,11234,2026-03-08T04:03:53+00:00,,1,Other,,,,,FIA STEWARDS: INCIDENT INVOLVING CAR 43 (COL) UNDER INVESTIGATION - STARTING PROCEDURE INFRINGEMENT
1279,11234,2026-03-08T04:04:46+00:00,,1,Other,,,,,OVERTAKE ENABLED
1279,11234,2026-03-08T04:11:11+00:00,,6,Other,,,,,CAR 10 (GAS) TIME 1:27.040 DELETED - TRACK LIMITS AT TURN 10 LAP 5 15:10:17
1279,11234,2026-03-08T04:12:27+00:00,,7,Other,,,,,CAR 5 (BOR) TIME 1:27.463 DELETED - TRACK LIMITS AT TURN 3 LAP 6 15:11:11
1279,11234,2026-03-08T04:14:16+00:00,,8,Other,,,,,FIA STEWARDS: STOP-AND-GO PENALTY FOR CAR 43 (COL) - STARTING PROCEDURE INFRINGEMENT
1279,11234,2026-03-08T04:16:10+00:00,,9,Other,,,,,TURN 11 INCIDENT INVOLVING CAR 16 (LEC) NOTED
1279,11234,2026-03-08T04:17:20+00:00,,10,Other,,,,,FIA STEWARDS: TURN 11 INCIDENT INVOLVING CAR 16 (LEC) REVIEWED NO FURTHER INVESTIGATION
1279,11234,2026-03-08T04:19:08+00:00,,12,SafetyCar,,,,,VSC DEPLOYED
1279,11234,2026-03-08T04:19:16+00:00,,12,Flag,YELLOW,Sector,13.0,,YELLOW IN TRACK SECTOR 13
1279,11234,2026-03-08T04:19:19+00:00,,12,Flag,DOUBLE YELLOW,Sector,13.0,,DOUBLE YELLOW IN TRACK SECTOR 13
1279,11234,2026-03-08T04:20:09+00:00,,12,Other,,,,,MARSHALS ON TRACK AT TURN 9
1279,11234,2026-03-08T04:21:13+00:00,,13,Other,,,,,FIA STEWARDS: PENALTY SERVED - STOP-AND-GO PENALTY FOR CAR 43 (COL) - STARTING PROCEDURE INFRINGEMENT
1279,11234,2026-03-08T04:23:05+00:00,,14,Flag,CLEAR,Sector,13.0,,CLEAR IN TRACK SECTOR 13
1279,11234,2026-03-08T04:23:07+00:00,,14,SafetyCar,,,,,VSC ENDING
1279,11234,2026-03-08T04:23:19+00:00,,14,Flag,CLEAR,Track,,,TRACK CLEAR
1279,11234,2026-03-08T04:23:22+00:00,77.0,14,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 15:23:22
1279,11234,2026-03-08T04:23:30+00:00,77.0,14,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 15:23:30
1279,11234,2026-03-08T04:23:35+00:00,77.0,14,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 15:23:35
1279,11234,2026-03-08T04:24:21+00:00,77.0,14,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 15:24:20
1279,11234,2026-03-08T04:25:06+00:00,77.0,15,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 15:25:06
1279,11234,2026-03-08T04:25:27+00:00,77.0,15,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 15:25:26
1279,11234,2026-03-08T04:26:27+00:00,77.0,16,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 15:26:27
1279,11234,2026-03-08T04:26:42+00:00,77.0,16,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 15:26:41
1279,11234,2026-03-08T04:28:39+00:00,,18,Other,,,,,CAR 23 (ALB) TIME 1:28.434 DELETED - TRACK LIMITS AT TURN 3 LAP 16 15:26:48
1279,11234,2026-03-08T04:29:38+00:00,,18,Flag,YELLOW,Sector,20.0,,YELLOW IN TRACK SECTOR 20
1279,11234,2026-03-08T04:29:52+00:00,18.0,18,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 15:29:51
1279,11234,2026-03-08T04:29:55+00:00,,18,SafetyCar,,,,,VSC DEPLOYED
1279,11234,2026-03-08T04:31:16+00:00,,19,Other,,,,,PIT LANE ENTRY CLOSED
1279,11234,2026-03-08T04:31:17+00:00,,19,Flag,CLEAR,Sector,20.0,,CLEAR IN TRACK SECTOR 20
1279,11234,2026-03-08T04:32:04+00:00,,20,Other,,,,,MARSHALS ON TRACK AT PIT ENTRY
1279,11234,2026-03-08T04:32:21+00:00,,20,Other,,,,,PIT LANE ENTRY OPEN
1279,11234,2026-03-08T04:32:26+00:00,,20,SafetyCar,,,,,VSC ENDING
1279,11234,2026-03-08T04:32:39+00:00,,20,Flag,CLEAR,Track,,,TRACK CLEAR
1279,11234,2026-03-08T04:32:43+00:00,18.0,20,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 15:32:43
1279,11234,2026-03-08T04:32:56+00:00,18.0,20,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 15:32:55
1279,11234,2026-03-08T04:34:21+00:00,,21,Other,,,,,TURN 11 INCIDENT INVOLVING CARS 11 (PER) AND 30 (LAW) NOTED - FORCING ANOTHER DRIVER OFF THE TRACK
1279,11234,2026-03-08T04:34:33+00:00,18.0,21,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 15:34:33
1279,11234,2026-03-08T04:35:08+00:00,,22,Other,,,,,CAR 30 (LAW) TIME 1:29.919 DELETED - TRACK LIMITS AT TURN 3 LAP 16 15:26:58
1279,11234,2026-03-08T04:36:04+00:00,11.0,22,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 15:36:03
1279,11234,2026-03-08T04:36:20+00:00,18.0,22,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 15:36:20
1279,11234,2026-03-08T04:36:27+00:00,11.0,23,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 15:36:26
1279,11234,2026-03-08T04:36:59+00:00,,23,Other,,,,,TURN 3 INCIDENT INVOLVING CARS 31 (OCO) AND 10 (GAS) NOTED
1279,11234,2026-03-08T04:37:32+00:00,,23,Other,,,,,FIA STEWARDS: TURN 11 INCIDENT INVOLVING CARS 11 (PER) AND 30 (LAW) UNDER INVESTIGATION - FORCING ANOTHER DRIVER OFF THE TRACK
1279,11234,2026-03-08T04:37:37+00:00,11.0,23,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 15:37:36
1279,11234,2026-03-08T04:38:30+00:00,,24,Other,,,,,FIA STEWARDS: TURN 3 INCIDENT INVOLVING CARS 31 (OCO) AND 10 (GAS) UNDER INVESTIGATION
1279,11234,2026-03-08T04:39:47+00:00,11.0,25,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 15:39:46
1279,11234,2026-03-08T04:39:56+00:00,,25,Other,,,,,INCIDENT INVOLVING CAR 31 (OCO) NOTED - DRIVING UNNECESSARILY SLOWLY
1279,11234,2026-03-08T04:40:49+00:00,,26,Other,,,,,FIA STEWARDS: TURN 11 INCIDENT INVOLVING CARS 11 (PER) AND 30 (LAW) NO FURTHER ACTION - FORCING ANOTHER DRIVER OFF THE TRACK
1279,11234,2026-03-08T04:41:47+00:00,18.0,26,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 15:41:46
1279,11234,2026-03-08T04:42:24+00:00,11.0,27,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 15:42:24
1279,11234,2026-03-08T04:42:47+00:00,18.0,27,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 15:42:46
1279,11234,2026-03-08T04:43:19+00:00,,27,Other,,,,,INCIDENT INVOLVING CAR 11 (PER) NOTED - IGNORING BLUE FLAGS
1279,11234,2026-03-08T04:44:00+00:00,11.0,28,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 15:43:59
1279,11234,2026-03-08T04:44:40+00:00,18.0,28,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 15:44:39
1279,11234,2026-03-08T04:45:10+00:00,11.0,29,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 15:45:10
1279,11234,2026-03-08T04:46:00+00:00,43.0,29,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 43 (COL) TIMED AT 15:45:59
1279,11234,2026-03-08T04:46:04+00:00,43.0,29,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 43 (COL) TIMED AT 15:46:03
1279,11234,2026-03-08T04:46:12+00:00,11.0,30,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 15:46:11
1279,11234,2026-03-08T04:46:55+00:00,,30,Other,,,,,FIA STEWARDS: INCIDENT INVOLVING CAR 31 (OCO) WILL BE INVESTIGATED AFTER THE RACE - DRIVING UNNECESSARILY SLOWLY
1279,11234,2026-03-08T04:48:24+00:00,14.0,31,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 14 (ALO) TIMED AT 15:48:24
1279,11234,2026-03-08T04:48:52+00:00,43.0,31,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 43 (COL) TIMED AT 15:48:52
1279,11234,2026-03-08T04:49:32+00:00,18.0,32,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 15:49:31
1279,11234,2026-03-08T04:50:30+00:00,14.0,33,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 14 (ALO) TIMED AT 15:50:29
1279,11234,2026-03-08T04:50:30+00:00,11.0,33,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 15:50:29
1279,11234,2026-03-08T04:50:40+00:00,11.0,33,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 15:50:39
1279,11234,2026-03-08T04:50:47+00:00,,33,Other,,,,,FIA STEWARDS: TURN 3 INCIDENT INVOLVING CARS 31 (OCO) AND 10 (GAS) NO FURTHER ACTION
1279,11234,2026-03-08T04:51:23+00:00,11.0,33,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 15:51:22
1279,11234,2026-03-08T04:51:26+00:00,,33,Other,,,,,TRACK SURFACE SLIPPERY IN TRACK SECTOR 13
1279,11234,2026-03-08T04:51:34+00:00,11.0,33,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 15:51:34
1279,11234,2026-03-08T04:51:48+00:00,18.0,34,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 15:51:47
1279,11234,2026-03-08T04:52:20+00:00,,34,SafetyCar,,,,,VSC DEPLOYED
1279,11234,2026-03-08T04:52:20+00:00,,34,Flag,CLEAR,Sector,13.0,,CLEAR IN TRACK SECTOR 13
