meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1280,11245,44,1,2026-03-15T07:03:59.830000+00:00,28.214,29.4,42.279,279.0,253,False,99.893,"[2048, 2049, 2051, 2051, 2051, 2049, 2049]","[2051, 2049, 2051, 2051, 2051, 2049]","[2051, 2049, 2049, 2049, 2049, 2051, 2049, 2051, 2051, 2049, 2051]",309
1280,11245,44,2,2026-03-15T07:05:39.722000+00:00,26.571,30.167,42.823,259.0,251,False,99.561,"[2049, 2049, 2048, 2048, 2048, 2048, 2048]","[2048, 2049, 2048, 2048, 2048, 2048]","[2048, 2049, 2049, 2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048]",306
1280,11245,44,3,2026-03-15T07:07:19.357000+00:00,26.036,29.899,42.652,267.0,257,False,98.587,"[None, 2049, 2049, 2048, 2048, 2049, 2048]","[2048, 2049, 2049, 2048, 2048, 2049]","[2048, 2049, 2049, 2048, 2048, 2048, 2051, 2049, 2048, 2048, 2048]",301
1280,11245,44,4,2026-03-15T07:08:57.882000+00:00,26.445,29.518,42.271,,258,False,98.234,"[2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2049, 2048, 2048, 2048, 2048, 2049, 2049]",317
1280,11245,44,5,2026-03-15T07:10:36.068000+00:00,25.888,29.561,42.187,266.0,252,False,97.636,"[None, 2048, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2048, 2051, 2048, 2049, 2048, 2048]",316
1280,11245,44,6,2026-03-15T07:12:13.798000+00:00,26.388,29.48,42.094,265.0,259,False,97.962,"[None, 2048, 2048, 2048, 2051, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2049, 2048, 2048, 2049, 2048, 2048, 2048]",316
1280,11245,44,7,2026-03-15T07:13:51.656000+00:00,26.353,29.64,42.228,268.0,252,False,98.221,"[None, 2048, 2048, 2049, 2051, 2048, 2048]","[2051, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2049, 2048, 2049]",308
1280,11245,44,8,2026-03-15T07:15:29.982000+00:00,25.948,29.645,42.336,262.0,248,False,97.929,"[None, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2051, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",304
1280,11245,44,9,2026-03-15T07:17:07.860000+00:00,26.231,29.813,42.327,264.0,252,False,98.371,"[None, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2049, 2049]",304
1280,11245,44,10,2026-03-15T07:18:46.178000+00:00,26.118,29.593,54.235,260.0,255,False,109.946,"[None, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2064, 2064, 2064]",296
1280,11245,44,11,2026-03-15T07:20:36.171000+00:00,56.333,42.193,63.793,214.0,208,True,162.319,"[2064, 2064, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",218
1280,11245,44,12,2026-03-15T07:23:18.539000+00:00,43.585,43.402,63.017,116.0,159,False,150.004,"[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",200
1280,11245,44,13,2026-03-15T07:25:48.558000+00:00,37.523,43.814,67.058,188.0,157,False,148.395,"[None, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",166
1280,11245,44,14,2026-03-15T07:28:16.925000+00:00,26.346,30.144,42.476,276.0,262,False,98.966,"[2049, 2049, 2048, 2048, 2048, 2048, 2048]","[2048, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2049, 2049, 2048, 2048, 2048, 2048, 2049, 2049]",312
1280,11245,44,15,2026-03-15T07:29:55.822000+00:00,25.729,29.636,41.708,275.0,254,False,97.073,"[2048, 2048, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2051, 2048, 2048]","[2048, 2049, 2048, 2049, 2049, 2048, 2048, 2048, 2048, 2049, 2049]",322
1280,11245,44,16,2026-03-15T07:31:32.956000+00:00,25.52,29.383,42.028,268.0,253,False,96.931,"[None, 2048, 2048, 2049, 2048, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",315
1280,11245,44,17,2026-03-15T07:33:09.863000+00:00,25.604,29.185,41.908,276.0,258,False,96.697,"[None, 2048, 2048, 2048, 2048, 2048, 2048]","[2051, 2048, 2049, 2048, 2048, 2049]","[2048, 2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",312
1280,11245,44,18,2026-03-15T07:34:46.650000+00:00,25.84,29.308,41.969,264.0,260,False,97.117,"[None, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049]","[2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",309
1280,11245,44,19,2026-03-15T07:36:23.656000+00:00,25.734,29.303,42.066,270.0,260,False,97.103,"[None, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",308
1280,11245,44,20,2026-03-15T07:38:00.869000+00:00,25.684,29.332,41.899,269.0,253,False,96.915,"[None, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048]",307
1280,11245,44,21,2026-03-15T07:39:37.798000+00:00,25.719,29.177,42.076,266.0,257,False,96.972,"[None, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",305
1280,11245,44,22,2026-03-15T07:41:14.750000+00:00,25.706,29.242,42.058,268.0,254,False,97.006,"[None, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",307
1280,11245,44,23,2026-03-15T07:42:51.628000+00:00,25.717,29.202,42.13,264.0,258,False,97.049,"[None, 2048, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",304
1280,11245,44,24,2026-03-15T07:44:28.701000+00:00,25.672,29.236,43.315,,251,False,98.223,"[None, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",302
