meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,qualifying_phase,message
1280,11245,2026-03-15T06:20:01+00:00,,1,Flag,GREEN,Track,,,GREEN LIGHT - PIT EXIT OPEN
1280,11245,2026-03-15T06:30:01+00:00,,1,Other,,,,,PIT EXIT CLOSED
1280,11245,2026-03-15T06:32:39+00:00,,1,Flag,DOUBLE YELLOW,Sector,11.0,,DOUBLE YELLOW IN TRACK SECTOR 11
1280,11245,2026-03-15T06:33:35+00:00,,1,Flag,DOUBLE YELLOW,Sector,12.0,,DOUBLE YELLOW IN TRACK SECTOR 12
1280,11245,2026-03-15T06:34:35+00:00,,1,Flag,CLEAR,Sector,12.0,,CLEAR IN TRACK SECTOR 12
1280,11245,2026-03-15T06:34:45+00:00,,1,Flag,CLEAR,Sector,11.0,,CLEAR IN TRACK SECTOR 11
1280,11245,2026-03-15T06:57:22+00:00,,1,Other,,,,,OVERTAKE DISABLED
1280,11245,2026-03-15T07:03:59.830000+00:00,,1,SessionStatus,,,,,SESSION STARTED
1280,11245,2026-03-15T07:04:00+00:00,,1,Flag,GREEN,Track,,,GREEN LIGHT - PIT EXIT OPEN
1280,11245,2026-03-15T07:04:26+00:00,,1,Flag,DOUBLE YELLOW,Sector,4.0,,DOUBLE YELLOW IN TRACK SECTOR 4
1280,11245,2026-03-15T07:04:27+00:00,,1,Flag,YELLOW,Sector,3.0,,YELLOW IN TRACK SECTOR 3
1280,11245,2026-03-15T07:04:30+00:00,,1,Flag,CLEAR,Sector,3.0,,CLEAR IN TRACK SECTOR 3
1280,11245,2026-03-15T07:04:33+00:00,,1,Flag,CLEAR,Sector,4.0,,CLEAR IN TRACK SECTOR 4
1280,11245,2026-03-15T07:05:18+00:00,,1,Flag,DOUBLE YELLOW,Sector,15.0,,DOUBLE YELLOW IN TRACK SECTOR 15
1280,11245,2026-03-15T07:05:20+00:00,,1,Other,,,,,TRACK SURFACE SLIPPERY IN TRACK SECTOR 4
1280,11245,2026-03-15T07:05:20+00:00,,1,Flag,YELLOW,Sector,15.0,,YELLOW IN TRACK SECTOR 15
