date,session_key,meeting_key,driver_number,interval,gap_to_leader
2026-03-08T04:03:34.713000+00:00,11234,1279,1,,0.378
2026-03-08T04:03:36.746000+00:00,11234,1279,1,0.147,0.491
2026-03-08T04:03:43.722000+00:00,11234,1279,1,0.195,1.458
2026-03-08T04:03:46.867000+00:00,11234,1279,1,0.488,1.277
2026-03-08T04:03:50.723000+00:00,11234,1279,1,0.219,1.201
2026-03-08T04:03:55.037000+00:00,11234,1279,1,0.253,1.871
2026-03-08T04:04:00.702000+00:00,11234,1279,1,0.244,2.528
2026-03-08T04:04:03.823000+00:00,11234,1279,1,0.334,2.849
2026-03-08T04:04:05.718000+00:00,11234,1279,1,0.306,2.878
2026-03-08T04:04:10.121000+00:00,11234,1279,1,0.413,3.254
2026-03-08T04:04:13.773000+00:00,11234,1279,1,0.405,3.268
2026-03-08T04:04:17.100000+00:00,11234,1279,1,0.334,3.14
2026-03-08T04:04:20.900000+00:00,11234,1279,1,0.199,2.794
2026-03-08T04:04:23.987000+00:00,11234,1279,1,0.097,2.429
2026-03-08T04:04:29.535000+00:00,11234,1279,1,0.483,2.946
2026-03-08T04:04:34.838000+00:00,11234,1279,1,0.511,2.917
2026-03-08T04:04:39.009000+00:00,11234,1279,1,0.522,3.067
2026-03-08T04:04:45.156000+00:00,11234,1279,1,0.181,3.442
2026-03-08T04:04:49.042000+00:00,11234,1279,1,0.288,3.959
2026-03-08T04:04:53.291000+00:00,11234,1279,1,0.399,4.543
2026-03-08T04:04:55.459000+00:00,11234,1279,1,0.385,4.661
2026-03-08T04:04:57.545000+00:00,11234,1279,1,0.435,4.784
2026-03-08T04:05:02.439000+00:00,11234,1279,1,0.421,4.597
2026-03-08T04:05:03.136000+00:00,11234,1279,1,0.377,4.529
2026-03-08T04:05:05.984000+00:00,11234,1279,1,0.432,4.49
2026-03-08T04:05:07.626000+00:00,11234,1279,1,0.388,4.634
2026-03-08T04:05:12.790000+00:00,11234,1279,1,0.501,5.002
2026-03-08T04:05:16.250000+00:00,11234,1279,1,0.533,4.942
2026-03-08T04:05:19.796000+00:00,11234,1279,1,0.545,5.079
2026-03-08T04:05:23.795000+00:00,11234,1279,1,0.62,5.331
2026-03-08T04:05:28.912000+00:00,11234,1279,1,0.616,5.423
2026-03-08T04:05:31.632000+00:00,11234,1279,1,0.615,5.514
2026-03-08T04:05:33.802000+00:00,11234,1279,1,0.633,5.48
2026-03-08T04:05:37.833000+00:00,11234,1279,1,0.661,5.612
2026-03-08T04:05:41.100000+00:00,11234,1279,1,0.629,5.588
2026-03-08T04:05:44.841000+00:00,11234,1279,1,0.657,5.542
2026-03-08T04:05:48.659000+00:00,11234,1279,1,0.757,5.453
2026-03-08T04:05:51.940000+00:00,11234,1279,1,0.713,5.421
2026-03-08T04:05:57.357000+00:00,11234,1279,1,0.552,5.257
2026-03-08T04:06:02.467000+00:00,11234,1279,1,0.533,5.32
2026-03-08T04:06:06.559000+00:00,11234,1279,1,0.399,5.126
2026-03-08T04:06:12.521000+00:00,11234,1279,1,0.276,5.34
2026-03-08T04:06:16.415000+00:00,11234,1279,1,0.401,5.801
2026-03-08T04:06:20.371000+00:00,11234,1279,1,0.491,5.989
2026-03-08T04:06:22.546000+00:00,11234,1279,1,0.406,5.955
2026-03-08T04:06:24.779000+00:00,11234,1279,1,0.462,6.137
2026-03-08T04:06:29.788000+00:00,11234,1279,1,0.51,6.133
2026-03-08T04:06:30.422000+00:00,11234,1279,1,0.503,6.101
2026-03-08T04:06:33.122000+00:00,11234,1279,1,0.526,5.936
2026-03-08T04:06:34.723000+00:00,11234,1279,1,0.588,5.982
2026-03-08T04:06:39.710000+00:00,11234,1279,1,0.681,6.259
2026-03-08T04:06:43.302000+00:00,11234,1279,1,0.759,
2026-03-08T04:06:46.763000+00:00,11234,1279,1,0.895,6.265
2026-03-08T04:06:50.626000+00:00,11234,1279,1,0.916,6.421
2026-03-08T04:06:55.646000+00:00,11234,1279,1,0.853,6.588
2026-03-08T04:06:58.489000+00:00,11234,1279,1,0.86,6.67
2026-03-08T04:07:00.601000+00:00,11234,1279,1,0.855,6.757
2026-03-08T04:07:04.603000+00:00,11234,1279,1,0.839,7.008
2026-03-08T04:07:07.859000+00:00,11234,1279,1,0.86,6.996
2026-03-08T04:07:11.765000+00:00,11234,1279,1,0.973,6.939
2026-03-08T04:07:15.703000+00:00,11234,1279,1,1.162,6.807
2026-03-08T04:07:18.960000+00:00,11234,1279,1,1.167,6.443
2026-03-08T04:07:24.144000+00:00,11234,1279,1,1.11,6.48
2026-03-08T04:07:29.399000+00:00,11234,1279,1,1.243,6.375
2026-03-08T04:07:33.688000+00:00,11234,1279,1,0.3,6.525
2026-03-08T04:07:39.545000+00:00,11234,1279,1,0.522,6.679
2026-03-08T04:07:43.175000+00:00,11234,1279,1,0.69,6.816
2026-03-08T04:07:47.098000+00:00,11234,1279,1,0.993,7.076
2026-03-08T04:07:49.284000+00:00,11234,1279,1,0.989,7.077
2026-03-08T04:07:51.402000+00:00,11234,1279,1,1.071,7.09
2026-03-08T04:07:56.612000+00:00,11234,1279,1,1.1,7.075
2026-03-08T04:07:57.301000+00:00,11234,1279,1,1.107,7.071
2026-03-08T04:08:00.122000+00:00,11234,1279,1,1.124,7.002
2026-03-08T04:08:01.661000+00:00,11234,1279,1,1.188,7.102
2026-03-08T04:08:06.618000+00:00,11234,1279,1,1.259,7.226
2026-03-08T04:08:10.186000+00:00,11234,1279,1,1.272,7.147
2026-03-08T04:08:13.607000+00:00,11234,1279,1,1.335,7.195
2026-03-08T04:08:17.387000+00:00,11234,1279,1,1.422,7.318
2026-03-08T04:08:22.262000+00:00,11234,1279,1,1.488,7.252
2026-03-08T04:08:25.050000+00:00,11234,1279,1,1.444,7.307
2026-03-08T04:08:27.123000+00:00,11234,1279,1,1.409,7.263
2026-03-08T04:08:31.029000+00:00,11234,1279,1,1.451,7.37
2026-03-08T04:08:34.295000+00:00,11234,1279,1,1.476,7.398
2026-03-08T04:08:38.160000+00:00,11234,1279,1,1.564,7.459
2026-03-08T04:08:42.033000+00:00,11234,1279,1,1.693,7.483
2026-03-08T04:08:45.362000+00:00,11234,1279,1,1.814,7.436
2026-03-08T04:08:50.578000+00:00,11234,1279,1,1.767,7.663
2026-03-08T04:08:55.755000+00:00,11234,1279,1,1.945,7.666
2026-03-08T04:08:59.742000+00:00,11234,1279,1,1.866,7.594
2026-03-08T04:09:05.546000+00:00,11234,1279,1,1.549,7.619
2026-03-08T04:09:09.077000+00:00,11234,1279,1,1.396,7.774
2026-03-08T04:09:12.886000+00:00,11234,1279,1,1.336,8.095
2026-03-08T04:09:15.026000+00:00,11234,1279,1,1.288,8.151
2026-03-08T04:09:17.122000+00:00,11234,1279,1,1.273,8.244
2026-03-08T04:09:22.439000+00:00,11234,1279,1,1.479,8.35
2026-03-08T04:09:23.147000+00:00,11234,1279,1,1.553,8.375
2026-03-08T04:09:25.988000+00:00,11234,1279,1,1.722,8.453
2026-03-08T04:09:27.461000+00:00,11234,1279,1,1.585,8.545
2026-03-08T04:09:32.352000+00:00,11234,1279,1,1.225,8.614
2026-03-08T04:09:35.885000+00:00,11234,1279,1,1.236,8.497
2026-03-08T04:09:39.241000+00:00,11234,1279,1,1.216,8.524
2026-03-08T04:09:43.024000+00:00,11234,1279,1,1.063,8.682
2026-03-08T04:09:47.905000+00:00,11234,1279,1,0.818,8.736
2026-03-08T04:09:50.678000+00:00,11234,1279,1,0.707,8.817
2026-03-08T04:09:52.737000+00:00,11234,1279,1,0.624,8.772
2026-03-08T04:09:56.629000+00:00,11234,1279,1,0.551,8.895
2026-03-08T04:09:59.933000+00:00,11234,1279,1,0.577,8.95
2026-03-08T04:10:03.670000+00:00,11234,1279,1,0.575,8.923
2026-03-08T04:10:07.432000+00:00,11234,1279,1,0.562,8.797
2026-03-08T04:10:10.644000+00:00,11234,1279,1,0.553,8.633
2026-03-08T04:10:15.955000+00:00,11234,1279,1,0.687,9.09
2026-03-08T04:10:21.297000+00:00,11234,1279,1,0.901,9.215
2026-03-08T04:10:25.436000+00:00,11234,1279,1,1.072,9.31
2026-03-08T04:10:31.094000+00:00,11234,1279,1,0.907,9.262
2026-03-08T04:10:34.567000+00:00,11234,1279,1,0.784,9.394
2026-03-08T04:10:38.367000+00:00,11234,1279,1,0.807,9.657
2026-03-08T04:10:40.437000+00:00,11234,1279,1,0.724,9.687
2026-03-08T04:10:42.696000+00:00,11234,1279,1,0.77,9.78
2026-03-08T04:10:48.023000+00:00,11234,1279,1,0.952,9.937
2026-03-08T04:10:48.758000+00:00,11234,1279,1,0.992,9.967
2026-03-08T04:10:51.590000+00:00,11234,1279,1,1.122,10.047
2026-03-08T04:10:53.021000+00:00,11234,1279,1,1.1,10.081
2026-03-08T04:10:57.989000+00:00,11234,1279,1,1.121,10.227
2026-03-08T04:11:01.472000+00:00,11234,1279,1,1.061,10.015
2026-03-08T04:11:04.801000+00:00,11234,1279,1,1.011,9.899
2026-03-08T04:11:08.635000+00:00,11234,1279,1,0.928,9.995
2026-03-08T04:11:13.510000+00:00,11234,1279,1,0.898,10.123
2026-03-08T04:11:16.302000+00:00,11234,1279,1,0.89,10.233
2026-03-08T04:11:18.397000+00:00,11234,1279,1,0.859,10.223
2026-03-08T04:11:22.276000+00:00,11234,1279,1,0.817,10.284
2026-03-08T04:11:25.548000+00:00,11234,1279,1,,10.268
2026-03-08T04:11:29.313000+00:00,11234,1279,1,0.816,10.231
2026-03-08T04:11:33.017000+00:00,11234,1279,1,0.811,10.141
2026-03-08T04:11:36.343000+00:00,11234,1279,1,0.778,10.0
2026-03-08T04:11:41.395000+00:00,11234,1279,1,0.711,10.127
2026-03-08T04:11:46.535000+00:00,11234,1279,1,0.72,10.092
2026-03-08T04:11:50.523000+00:00,11234,1279,1,0.759,9.997
2026-03-08T04:11:56.200000+00:00,11234,1279,1,0.584,9.707
2026-03-08T04:11:59.759000+00:00,11234,1279,1,0.566,9.907
2026-03-08T04:12:03.652000+00:00,11234,1279,1,0.672,10.211
2026-03-08T04:12:05.757000+00:00,11234,1279,1,0.587,10.163
2026-03-08T04:12:07.892000+00:00,11234,1279,1,0.604,10.187
2026-03-08T04:12:13.092000+00:00,11234,1279,1,0.633,10.182
2026-03-08T04:12:13.727000+00:00,11234,1279,1,0.636,10.181
2026-03-08T04:12:16.508000+00:00,11234,1279,1,0.643,10.173
2026-03-08T04:12:17.944000+00:00,11234,1279,1,0.647,10.23
2026-03-08T04:12:22.914000+00:00,11234,1279,1,0.7,10.329
2026-03-08T04:12:26.415000+00:00,11234,1279,1,0.68,10.199
2026-03-08T04:12:29.750000+00:00,11234,1279,1,0.687,10.141
2026-03-08T04:12:33.524000+00:00,11234,1279,1,0.652,10.262
2026-03-08T04:12:38.500000+00:00,11234,1279,1,0.653,10.382
2026-03-08T04:12:41.363000+00:00,11234,1279,1,0.677,10.532
