meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1279,11234,1,1,2026-03-08T04:03:26.365000+00:00,29.171,,,265.0,,True,,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048]","[2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 0]",292.0
1279,11234,1,2,2026-03-08T04:06:30.675000+00:00,30.541,18.252,38.07,245.0,311.0,False,86.863,"[None, 2049, 2049, 2048, 2049, 2049, 2048, 2049, 2049]","[2049, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2049, 2049, 2049, 2049, 2049, 2048, 2048]",273.0
1279,11234,1,3,2026-03-08T04:07:57.556000+00:00,30.19,18.193,37.474,249.0,304.0,False,85.857,"[2048, 2049, 2049, 2048, 2049, 2049, 2049, 2049, 2049]","[2049, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2049, 2049, 2049, 2049, 2048, 2048, 2048]",276.0
1279,11234,1,4,2026-03-08T04:09:23.333000+00:00,29.93,17.868,37.775,260.0,297.0,False,85.573,"[None, 2049, 2049, 2048, 2049, 2049, 2048, 2048, 2049]","[2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2049, 2049, 2048, 2048, 2048, 2048]",
1279,11234,1,5,2026-03-08T04:10:48.917000+00:00,30.025,17.829,37.182,256.0,313.0,False,85.036,"[None, 2049, 2048, 2049, 2049, 2049, 2048, 2048, 2048]","[2049, 2049, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048]",273.0
1279,11234,1,6,2026-03-08T04:12:13.987000+00:00,30.067,17.764,37.147,253.0,316.0,False,84.978,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2049]","[2049, 2049, 2048, 2048, 2048, 2049, 2049, 2048, 2048, 2048]",285.0
1279,11234,1,7,2026-03-08T04:13:38.871000+00:00,30.191,17.97,37.138,,311.0,False,85.299,"[None, 2048, 2048, 2049, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048]",280.0
1279,11234,1,8,2026-03-08T04:15:04.235000+00:00,30.135,17.77,37.734,262.0,315.0,False,85.639,"[None, 2048, 2048, 2048, 2049, 2048, 2048, 2048, 2049]","[2048, 2048, 2049, 2049, 2049]","[2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048]",276.0
1279,11234,1,9,2026-03-08T04:16:29.845000+00:00,30.117,17.924,37.254,261.0,311.0,False,85.295,"[None, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",277.0
1279,11234,1,10,2026-03-08T04:17:55.112000+00:00,,17.987,55.287,251.0,309.0,False,103.391,"[None, 2048, 2048, 2049, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2064, 2064, 2064]",289.0
1279,11234,1,11,2026-03-08T04:19:38.334000+00:00,44.892,27.737,45.446,238.0,127.0,True,118.075,"[2064, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",230.0
1279,11234,1,12,2026-03-08T04:21:36.667000+00:00,41.529,27.589,42.814,230.0,146.0,False,111.932,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",203.0
1279,11234,1,13,2026-03-08T04:23:28.601000+00:00,29.882,17.87,36.481,251.0,306.0,False,84.233,"[None, 2048, 2048, 2048, 2049, 2049, 2048, 2048, 2048]","[2048, 2049, 2048, 2048, 2048]","[2049, 2048, 2049, 2049, 2049, 2049, 2049, 2048, 2048, 2048]",279.0
1279,11234,1,14,2026-03-08T04:24:52.779000+00:00,29.402,17.899,36.483,269.0,301.0,False,83.784,"[None, 2048, 2049, 2048, 2049, 2049, 2048, 2049, 2049]","[2049, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2051, 2048, 2049, 2049, 2048, 2048, 2048]",278.0
1279,11234,1,15,2026-03-08T04:26:16.651000+00:00,29.524,17.919,36.469,255.0,301.0,False,83.912,"[None, 2049, 2049, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2049, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2049, 2049, 2048, 2048, 2048, 2048]",286.0
1279,11234,1,16,2026-03-08T04:27:40.500000+00:00,29.442,18.015,36.596,262.0,303.0,False,84.053,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",287.0
1279,11234,1,17,2026-03-08T04:29:04.572000+00:00,29.758,17.788,47.858,259.0,312.0,False,95.404,"[None, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",291.0
1279,11234,1,18,2026-03-08T04:30:39.819000+00:00,42.456,22.738,50.876,184.0,238.0,False,116.07,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",184.0
1279,11234,1,19,2026-03-08T04:32:36.026000+00:00,30.612,18.63,36.532,259.0,290.0,False,85.774,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2049, 2049, 2048, 2048, 2048, 2048]",219.0
