meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1279,11234,44,1,2026-03-08T04:03:26.365000+00:00,29.096,,,255.0,,True,,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 0]",315.0
1279,11234,44,3,2026-03-08T04:07:51.599000+00:00,30.332,18.021,36.713,243.0,298.0,False,85.066,"[2049, 2048, 2048, 2049, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",286.0
1279,11234,44,4,2026-03-08T04:09:16.686000+00:00,29.967,18.029,36.506,253.0,296.0,False,84.502,"[2048, 2049, 2048, 2048, 2049, 2048, 2048, 2048, 2049]","[2049, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2049, 2049, 2048, 2048, 2048]",285.0
1279,11234,44,5,2026-03-08T04:10:41.116000+00:00,29.97,18.016,36.717,251.0,295.0,False,84.703,"[None, 2049, 2048, 2048, 2048, 2048, 2048, 2049, 2049]","[2049, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",290.0
1279,11234,44,6,2026-03-08T04:12:05.789000+00:00,29.888,18.034,36.443,255.0,296.0,False,84.365,"[None, 2048, 2048, 2048, 2049, 2048, 2048, 2049, 2049]","[2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2049, 2049, 2048, 2048, 2048]",291.0
1279,11234,44,7,2026-03-08T04:13:30.212000+00:00,29.787,18.093,36.528,249.0,292.0,False,84.408,"[None, 2049, 2048, 2048, 2048, 2051, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048, 2048]",304.0
1279,11234,44,8,2026-03-08T04:14:54.543000+00:00,30.984,18.266,36.594,228.0,299.0,False,85.844,"[2049, 2048, 2048, 2049, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]","[2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",302.0
1279,11234,44,9,2026-03-08T04:16:20.495000+00:00,29.827,17.875,36.553,249.0,305.0,False,84.255,"[2048, 2048, 2048, 2048, 2049, 2048, 2048, 2049, 2049]","[2048, 2048, 2049, 2049, 2049]","[2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048, 2048]",298.0
1279,11234,44,10,2026-03-08T04:17:44.748000+00:00,29.686,17.816,36.571,248.0,302.0,False,84.073,"[None, 2048, 2049, 2048, 2049, 2048, 2048, 2048, 2048]","[2049, 2048, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",292.0
1279,11234,44,11,2026-03-08T04:19:08.920000+00:00,40.845,28.326,45.787,219.0,138.0,False,114.958,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",219.0
