date,session_key,pit_duration,driver_number,stop_duration,lap_number,lane_duration,meeting_key
2026-03-08T04:19:40.861000+00:00,11234,18.2,1,,11,18.2,1279
2026-03-08T04:54:07.060000+00:00,11234,17.6,1,,34,17.6,1279
2026-03-08T04:30:49.318000+00:00,11234,19.0,3,,18,19.0,1279
2026-03-08T05:03:56.712000+00:00,11234,18.0,3,,41,18.0,1279
2026-03-08T04:30:55.377000+00:00,11234,18.9,5,,18,18.9,1279
2026-03-08T04:52:53.935000+00:00,11234,22.6,5,,33,22.6,1279
2026-03-08T04:19:46.650000+00:00,11234,18.6,10,,11,18.6,1279
2026-03-08T04:31:46.405000+00:00,11234,21.3,11,,18,21.3,1279
2026-03-08T05:09:13.746000+00:00,11234,18.9,11,,43,18.9,1279
2026-03-08T04:21:21.611000+00:00,11234,20.9,12,,12,20.9,1279
2026-03-08T04:20:16.967000+00:00,11234,25.8,14,,11,25.8,1279
2026-03-08T04:40:09.040000+00:00,11234,972.3,14,,13,972.3,1279
2026-03-08T04:40:48.354000+00:00,11234,17.6,16,,25,17.6,1279
2026-03-08T04:20:37.818000+00:00,11234,36.6,18,,11,36.6,1279
2026-03-08T04:44:26.700000+00:00,11234,33.1,18,,26,33.1,1279
2026-03-08T05:14:27.249000+00:00,11234,1081.5,18,,34,1081.5,1279
2026-03-08T05:22:06.866000+00:00,11234,22.4,18,,39,22.4,1279
2026-03-08T04:21:47.818000+00:00,11234,18.1,23,,12,18.1,1279
2026-03-08T04:53:24.007000+00:00,11234,18.4,23,,33,18.4,1279
2026-03-08T04:20:02.746000+00:00,11234,19.1,30,,11,19.1,1279
2026-03-08T04:53:35.308000+00:00,11234,18.1,30,,33,18.1,1279
2026-03-08T04:19:45.997000+00:00,11234,18.5,31,,11,18.5,1279
2026-03-08T04:30:48.178000+00:00,11234,18.5,41,,18,18.5,1279
2026-03-08T04:45:03.940000+00:00,11234,17.7,44,,28,17.7,1279
2026-03-08T04:19:56.659000+00:00,11234,19.8,55,,11,19.8,1279
2026-03-08T04:53:36.221000+00:00,11234,25.9,55,,33,25.9,1279
2026-03-08T05:11:24.056000+00:00,11234,34.6,55,,45,34.6,1279
2026-03-08T04:21:15.978000+00:00,11234,17.7,63,,12,17.7,1279
2026-03-08T04:23:14.187000+00:00,11234,30.3,77,,12,30.3,1279
2026-03-08T04:30:50.104000+00:00,11234,18.7,87,,18,18.7,1279
