meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1279,11234,1,1,1,10,MEDIUM,0
1279,11234,2,1,11,33,HARD,0
1279,11234,3,1,34,58,MEDIUM,0
1279,11234,1,3,1,17,HARD,0
1279,11234,2,3,18,40,MEDIUM,0
1279,11234,3,3,41,58,HARD,0
1279,11234,1,5,1,17,MEDIUM,0
1279,11234,2,5,18,32,HARD,0
1279,11234,3,5,33,57,HARD,0
1279,11234,1,6,1,10,MEDIUM,0
1279,11234,1,10,1,10,,2
1279,11234,2,10,11,57,HARD,0
1279,11234,1,11,1,17,,2
1279,11234,2,11,18,42,HARD,0
1279,11234,3,11,43,55,SOFT,0
1279,11234,1,14,1,10,SOFT,0
1279,11234,2,14,11,12,SOFT,0
1279,11234,3,14,13,21,SOFT,2
1279,11234,1,16,1,24,MEDIUM,0
1279,11234,2,16,25,58,HARD,0
1279,11234,1,18,1,10,MEDIUM,0
1279,11234,2,18,11,25,HARD,0
1279,11234,3,18,26,33,SOFT,0
1279,11234,4,18,34,38,SOFT,0
1279,11234,5,18,39,43,SOFT,0
1279,11234,1,23,1,11,,2
1279,11234,2,23,12,32,HARD,0
1279,11234,3,23,33,57,SOFT,0
1279,11234,1,27,1,1,HARD,0
1279,11234,1,30,1,10,,2
1279,11234,2,30,11,32,HARD,0
1279,11234,3,30,33,57,SOFT,0
1279,11234,1,31,1,10,,2
1279,11234,2,31,11,57,HARD,0
1279,11234,1,41,1,17,MEDIUM,0
1279,11234,2,41,18,57,HARD,0
1279,11234,1,43,1,8,HARD,0
1279,11234,2,43,9,45,HARD,9
1279,11234,3,43,46,56,SOFT,0
1279,11234,1,44,1,27,MEDIUM,0
1279,11234,2,44,28,58,HARD,0
1279,11234,1,55,1,10,SOFT,0
1279,11234,2,55,11,32,HARD,0
1279,11234,3,55,33,44,MEDIUM,0
1279,11234,4,55,45,56,SOFT,0
1279,11234,1,63,1,11,,2
1279,11234,2,63,12,58,HARD,0
1279,11234,1,77,1,11,HARD,0
1279,11234,2,77,12,15,HARD,12
1279,11234,1,87,1,17,MEDIUM,0
1279,11234,2,87,18,57,HARD,0
