date,session_key,gap_to_leader,interval,meeting_key,driver_number
2026-03-15T07:04:06.147000+00:00,11245,0.13,0.104,1280,16
2026-03-15T07:04:07.716000+00:00,11245,0.082,0.053,1280,16
2026-03-15T07:04:10.155000+00:00,11245,0.171,0.171,1280,16
2026-03-15T07:04:15.390000+00:00,11245,0.368,0.072,1280,16
2026-03-15T07:04:21.540000+00:00,11245,0.969,0.158,1280,16
2026-03-15T07:04:24.954000+00:00,11245,0.923,0.173,1280,16
2026-03-15T07:04:28.352000+00:00,11245,0.82,0.192,1280,16
2026-03-15T07:04:35.776000+00:00,11245,1.027,0.243,1280,16
2026-03-15T07:04:39.440000+00:00,11245,0.993,0.281,1280,16
2026-03-15T07:04:43.776000+00:00,11245,1.177,0.329,1280,16
2026-03-15T07:04:49.640000+00:00,11245,1.435,0.406,1280,16
2026-03-15T07:04:54.406000+00:00,11245,1.56,0.458,1280,16
2026-03-15T07:04:58.511000+00:00,11245,1.597,0.588,1280,16
2026-03-15T07:05:04.987000+00:00,11245,1.771,0.652,1280,16
2026-03-15T07:05:10.344000+00:00,11245,1.624,0.732,1280,16
2026-03-15T07:05:14.599000+00:00,11245,1.626,0.775,1280,16
2026-03-15T07:05:19.086000+00:00,11245,1.535,0.779,1280,16
2026-03-15T07:05:22.685000+00:00,11245,1.415,0.799,1280,16
2026-03-15T07:05:31.206000+00:00,11245,1.501,0.827,1280,16
2026-03-15T07:05:35.534000+00:00,11245,,0.905,1280,16
2026-03-15T07:05:36.566000+00:00,11245,1.514,0.885,1280,16
2026-03-15T07:05:38.941000+00:00,11245,1.604,0.912,1280,16
2026-03-15T07:05:40.378000+00:00,11245,1.616,0.925,1280,16
2026-03-15T07:05:41.144000+00:00,11245,,0.927,1280,16
2026-03-15T07:05:45.389000+00:00,11245,1.556,0.839,1280,16
2026-03-15T07:05:46.579000+00:00,11245,1.505,0.809,1280,16
2026-03-15T07:05:48.911000+00:00,11245,1.293,0.625,1280,16
2026-03-15T07:05:53.994000+00:00,11245,1.173,0.632,1280,16
2026-03-15T07:05:59.676000+00:00,11245,1.268,0.686,1280,16
2026-03-15T07:06:03.176000+00:00,11245,1.223,0.744,1280,16
2026-03-15T07:06:06.769000+00:00,11245,1.025,0.749,1280,16
2026-03-15T07:06:14.104000+00:00,11245,0.901,0.578,1280,16
2026-03-15T07:06:17.841000+00:00,11245,0.88,0.617,1280,16
2026-03-15T07:06:21.976000+00:00,11245,0.722,0.36,1280,16
2026-03-15T07:06:27.923000+00:00,11245,0.816,0.343,1280,16
2026-03-15T07:06:32.757000+00:00,11245,0.96,0.48,1280,16
2026-03-15T07:06:36.782000+00:00,11245,0.855,0.477,1280,16
2026-03-15T07:06:43.356000+00:00,11245,1.016,0.551,1280,16
2026-03-15T07:06:48.710000+00:00,11245,0.929,0.574,1280,16
2026-03-15T07:06:52.956000+00:00,11245,0.924,0.556,1280,16
2026-03-15T07:06:57.425000+00:00,11245,0.715,0.628,1280,16
2026-03-15T07:07:01.040000+00:00,11245,0.628,0.453,1280,16
