meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1280,11245,3,1,2026-03-15T07:03:59.830000+00:00,33.283,31.169,43.911,291.0,267.0,False,108.363,"[None, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",341.0
1280,11245,3,2,2026-03-15T07:05:48.192000+00:00,26.205,31.087,43.003,281.0,255.0,False,100.295,"[2049, 2051, 2049, 2049, 2049, 2049, 2051]","[2048, 2048, 2049, 2049, 2049, 2048]","[2049, 2049, 2049, 2048, 2048, 2049, 2049, 2049, 2049, 2049, 2049]",322.0
1280,11245,3,3,2026-03-15T07:07:28.467000+00:00,25.992,30.619,42.469,264.0,259.0,False,99.08,"[2048, 2048, 2049, 2049, 2049, 2049, 2048]","[2049, 2048, 2048, 2049, 2049, 2049]","[2049, 2049, 2048, 2048, 2048, 2049, 2049, 2049, 2049, 2049, 2049]",321.0
1280,11245,3,4,2026-03-15T07:09:07.623000+00:00,26.144,30.322,42.654,270.0,262.0,False,99.12,"[None, 2048, 2048, 2048, 2049, 2048, 2048]","[2049, 2048, 2048, 2048, 2049, 2049]","[2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048, 2049]",325.0
1280,11245,3,5,2026-03-15T07:10:46.817000+00:00,26.651,30.4,42.531,269.0,260.0,False,99.582,"[2051, 2051, 2051, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049, 2049, 2048, 2048, 2048]",324.0
1280,11245,3,6,2026-03-15T07:12:26.317000+00:00,26.14,30.474,42.592,272.0,267.0,False,99.206,"[2048, 2048, 2048, 2048, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048]",328.0
1280,11245,3,7,2026-03-15T07:14:05.501000+00:00,26.111,30.64,42.823,273.0,259.0,False,99.574,"[None, 2048, 2048, 2048, 2048, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",325.0
1280,11245,3,8,2026-03-15T07:15:45.123000+00:00,26.042,30.748,42.675,272.0,265.0,False,99.465,"[None, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",322.0
1280,11245,3,9,2026-03-15T07:17:24.530000+00:00,26.282,30.798,48.445,,263.0,False,105.525,"[None, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2064, 2064, 2064]",323.0
1280,11245,3,10,2026-03-15T07:19:10.005000+00:00,46.287,39.105,57.76,266.0,154.0,True,143.152,"[2064, 2064, 2048, 2048, 2048, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",223.0
1280,11245,3,11,2026-03-15T07:21:33.279000+00:00,35.451,40.422,59.195,226.0,225.0,False,135.068,"[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",253.0
1280,11245,3,12,2026-03-15T07:23:48.168000+00:00,32.207,34.84,62.622,235.0,214.0,False,129.669,"[None, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",106.0
1280,11245,3,13,2026-03-15T07:25:57.884000+00:00,35.686,45.94,60.721,225.0,204.0,False,142.347,"[None, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",205.0
1280,11245,3,14,2026-03-15T07:28:20.285000+00:00,26.178,30.957,42.438,309.0,261.0,False,99.573,"[None, 2051, 2048, 2048, 2048, 2048, 2051]","[2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2048, 2049, 2048, 2048, 2049, 2048]",325.0
1280,11245,3,15,2026-03-15T07:29:59.805000+00:00,25.966,30.709,42.393,300.0,264.0,False,99.068,"[None, 2048, 2048, 2048, 2048, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2049]","[2049, 2048, 2048, 2048, 2048, 2049, 2049, 2048, 2048, 2048, 2048]",322.0
1280,11245,3,16,2026-03-15T07:31:38.881000+00:00,26.214,30.102,42.637,274.0,269.0,False,98.953,"[None, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2049, 2049, 2048, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2051]",320.0
1280,11245,3,17,2026-03-15T07:33:17.893000+00:00,25.735,30.129,42.403,,263.0,False,98.267,"[None, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",328.0
1280,11245,3,18,2026-03-15T07:34:56.012000+00:00,25.558,29.953,41.839,276.0,265.0,False,97.35,"[2051, 2048, 2048, 2048, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049]","[2049, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048, 2049, 2048]",323.0
1280,11245,3,19,2026-03-15T07:36:33.443000+00:00,25.661,30.788,42.586,302.0,269.0,False,99.035,"[2048, 2048, 2048, 2048, 2048, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2049, 2049, 2048, 2048, 2048, 2048, 2048, 2048]",340.0
1280,11245,3,20,2026-03-15T07:38:12.550000+00:00,26.528,29.882,42.121,274.0,266.0,False,98.531,"[None, 2048, 2048, 2049, 2048, 2048, 2048]","[2049, 2048, 2049, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049]",327.0
1280,11245,3,21,2026-03-15T07:39:50.941000+00:00,25.933,30.162,42.673,306.0,264.0,False,98.768,"[None, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",323.0
1280,11245,3,22,2026-03-15T07:41:29.742000+00:00,25.68,29.815,42.652,309.0,255.0,False,98.147,"[None, 2048, 2048, 2048, 2048, 2048, 2051]","[2049, 2049, 2048, 2048, 2048, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048, 2049, 2048, 2048]",304.0
