date,session_key,lap_number,driver_number,stop_duration,lane_duration,pit_duration,meeting_key
2026-03-15T07:19:31.880000+00:00,11245,9,3,3.4,23.678,23.678,1280
2026-03-15T07:06:25.125000+00:00,11245,1,6,2.7,23.062,23.062,1280
2026-03-15T07:22:06.849000+00:00,11245,10,6,5.7,25.748,25.748,1280
2026-03-15T07:21:06.329000+00:00,11245,10,10,2.8,23.539,23.539,1280
2026-03-15T07:24:08.630000+00:00,11245,11,11,5.5,26.213,26.213,1280
2026-03-15T07:20:48.777000+00:00,11245,10,12,2.9,23.005,23.005,1280
2026-03-15T07:58:53.861000+00:00,11245,31,14,2.8,23.291,23.291,1280
2026-03-15T07:21:02.954000+00:00,11245,10,16,3.5,25.633,25.633,1280
2026-03-15T08:05:10.947000+00:00,11245,35,27,16.1,37.358,37.358,1280
2026-03-15T07:19:30.772000+00:00,11245,9,30,2.5,22.721,22.721,1280
2026-03-15T07:55:08.164000+00:00,11245,29,31,5.7,25.997,25.997,1280
2026-03-15T08:23:53.817000+00:00,11245,46,31,26.9,47.067,47.067,1280
