date,session_key,driver_number,gap_to_leader,interval,meeting_key
2026-03-29T05:14:07.171000+00:00,11253,44,0.318,0.193,1281
2026-03-29T05:14:10.140000+00:00,11253,44,0.362,0.137,1281
2026-03-29T05:14:13.974000+00:00,11253,44,0.698,0.13,1281
2026-03-29T05:14:18.160000+00:00,11253,44,1.057,0.309,1281
2026-03-29T05:14:21.796000+00:00,11253,44,1.439,0.251,1281
2026-03-29T05:14:25.571000+00:00,11253,44,1.776,0.261,1281
2026-03-29T05:14:32.384000+00:00,11253,44,2.347,0.301,1281
2026-03-29T05:14:36.457000+00:00,11253,44,2.628,0.387,1281
2026-03-29T05:14:39.988000+00:00,11253,44,2.829,0.518,1281
2026-03-29T05:14:43.379000+00:00,11253,44,3.071,0.522,1281
2026-03-29T05:14:48.660000+00:00,11253,44,3.294,0.636,1281
2026-03-29T05:14:52.798000+00:00,11253,44,3.352,0.546,1281
2026-03-29T05:14:58.189000+00:00,11253,44,3.353,0.574,1281
2026-03-29T05:15:02.354000+00:00,11253,44,3.355,0.576,1281
2026-03-29T05:15:04.848000+00:00,11253,44,3.234,0.472,1281
2026-03-29T05:15:07.680000+00:00,11253,44,3.027,0.323,1281
2026-03-29T05:15:11.096000+00:00,11253,44,3.127,0.364,1281
2026-03-29T05:15:15.465000+00:00,11253,44,3.222,0.467,1281
2026-03-29T05:15:19.668000+00:00,11253,44,3.18,0.525,1281
2026-03-29T05:15:22.324000+00:00,11253,44,3.099,0.534,1281
2026-03-29T05:15:26.818000+00:00,11253,44,2.875,0.562,1281
2026-03-29T05:15:30.618000+00:00,11253,44,2.951,0.623,1281
2026-03-29T05:15:35.189000+00:00,11253,44,2.988,0.549,1281
2026-03-29T05:15:37.762000+00:00,11253,44,3.052,0.573,1281
2026-03-29T05:15:39.222000+00:00,11253,44,3.076,0.539,1281
2026-03-29T05:15:39.953000+00:00,11253,44,3.094,0.544,1281
2026-03-29T05:15:40.698000+00:00,11253,44,3.118,0.563,1281
2026-03-29T05:15:45.368000+00:00,11253,44,3.269,0.829,1281
2026-03-29T05:15:47.593000+00:00,11253,44,3.276,0.072,1281
2026-03-29T05:15:51.173000+00:00,11253,44,3.536,0.269,1281
2026-03-29T05:15:54.826000+00:00,11253,44,3.769,0.402,1281
2026-03-29T05:15:58.339000+00:00,11253,44,3.938,0.519,1281
2026-03-29T05:16:01.777000+00:00,11253,44,4.027,0.458,1281
2026-03-29T05:16:08.260000+00:00,11253,44,4.202,0.565,1281
2026-03-29T05:16:12.176000+00:00,11253,44,4.224,0.575,1281
2026-03-29T05:16:15.744000+00:00,11253,44,4.228,0.621,1281
2026-03-29T05:16:19.209000+00:00,11253,44,4.406,0.764,1281
2026-03-29T05:16:24.251000+00:00,11253,44,4.349,0.706,1281
2026-03-29T05:16:28.412000+00:00,11253,44,4.417,0.643,1281
2026-03-29T05:16:33.874000+00:00,11253,44,4.45,0.623,1281
