meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1281,11253,1,1,2026-03-29T05:14:02.078000+00:00,37.524,42.011,18.104,289.0,323.0,False,97.639,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051]","[2049, 2049, 2049, 2051, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2051, 2049, 2049, 2049, 2049]",283.0
1281,11253,1,2,2026-03-29T05:15:39.716000+00:00,34.856,42.12,17.929,260.0,337.0,False,94.905,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2048]","[2048, 2049, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049]","[2049, 2049, 2048, 2048, 2048, 2048, 2048]",294.0
1281,11253,1,3,2026-03-29T05:17:14.662000+00:00,36.026,42.108,18.167,261.0,323.0,False,96.301,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048]","[2048, 2048, 2048, 2049, 2049, 2048, 2049]",286.0
1281,11253,1,4,2026-03-29T05:18:50.969000+00:00,35.147,42.19,18.114,255.0,319.0,False,95.451,"[None, 2048, 2049, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049]",284.0
1281,11253,1,5,2026-03-29T05:20:26.535000+00:00,34.925,42.206,18.039,258.0,322.0,False,95.17,"[None, 2048, 2048, 2048, 2048, 2049, 2048, 2049, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2049, 2048, 2048, 2048, 2049, 2048]",286.0
1281,11253,1,6,2026-03-29T05:22:01.528000+00:00,34.901,42.063,18.087,260.0,325.0,False,95.051,"[None, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049]",288.0
1281,11253,1,7,2026-03-29T05:23:36.636000+00:00,34.741,42.156,18.148,258.0,324.0,False,95.045,"[2049, 2049, 2048, 2048, 2049, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",288.0
1281,11253,1,8,2026-03-29T05:25:11.699000+00:00,34.769,42.234,18.244,259.0,326.0,False,95.247,"[2048, 2048, 2049, 2048, 2049, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049]",290.0
1281,11253,1,9,2026-03-29T05:26:46.912000+00:00,35.184,42.166,18.322,258.0,325.0,False,95.672,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",290.0
1281,11253,1,10,2026-03-29T05:28:22.588000+00:00,34.968,42.231,18.029,,326.0,False,95.228,"[2049, 2049, 2049, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2051, 2048]",289.0
1281,11253,1,11,2026-03-29T05:29:57.826000+00:00,35.055,42.309,18.855,,323.0,False,96.219,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",286.0
1281,11253,1,12,2026-03-29T05:31:33.959000+00:00,35.369,42.136,17.952,,327.0,False,95.457,"[2049, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2049, 2049, 2048, 2048, 2048]",288.0
1281,11253,1,13,2026-03-29T05:33:09.424000+00:00,35.0,42.106,17.973,261.0,326.0,False,95.079,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2049, 2049, 2048, 2048, 2048, 2048]",287.0
1281,11253,1,14,2026-03-29T05:34:44.546000+00:00,35.006,42.32,18.013,256.0,319.0,False,95.339,"[None, 2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",284.0
1281,11253,1,15,2026-03-29T05:36:19.935000+00:00,34.906,42.361,18.048,258.0,318.0,False,95.315,"[None, 2048, 2049, 2048, 2049, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",286.0
1281,11253,1,16,2026-03-29T05:37:55.216000+00:00,35.499,42.303,20.42,265.0,327.0,False,98.222,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2064, 2064, 2064]",289.0
1281,11253,1,17,2026-03-29T05:39:33.443000+00:00,54.657,42.005,17.819,283.0,318.0,True,114.481,"[2064, 2064, 2048, 2049, 2048, 2048, 2049, 2048, 2048]","[2049, 2049, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048]","[2048, 2049, 2048, 2049, 2051, 2048, 2048]",294.0
1281,11253,1,18,2026-03-29T05:41:27.895000+00:00,34.876,41.988,18.052,257.0,316.0,False,94.916,"[2048, 2048, 2048, 2049, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2048, 2048, 2049, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2048]",282.0
1281,11253,1,19,2026-03-29T05:43:02.861000+00:00,34.516,41.804,17.965,259.0,320.0,False,94.285,"[None, 2048, 2048, 2049, 2049, 2048, 2048, 2048, 2048]","[2049, 2049, 2048, 2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",284.0
1281,11253,1,20,2026-03-29T05:44:37.069000+00:00,34.258,41.67,17.843,,321.0,False,93.771,"[None, 2048, 2049, 2048, 2049, 2049, 2048, 2049, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2051, 2049]",286.0
1281,11253,1,21,2026-03-29T05:46:10.889000+00:00,34.402,41.856,17.903,263.0,327.0,False,94.161,"[None, 2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",289.0
1281,11253,1,22,2026-03-29T05:47:45.114000+00:00,38.974,56.456,25.11,156.0,245.0,False,120.54,"[None, 2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",216.0
1281,11253,1,23,2026-03-29T05:49:45.545000+00:00,45.885,62.354,31.347,224.0,202.0,False,139.586,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",212.0
1281,11253,1,24,2026-03-29T05:52:05.148000+00:00,49.4,70.887,26.841,189.0,195.0,False,147.128,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",268.0
1281,11253,1,25,2026-03-29T05:54:32.295000+00:00,50.322,72.179,28.388,123.0,266.0,False,150.889,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",209.0
1281,11253,1,26,2026-03-29T05:57:03.218000+00:00,53.81,63.654,29.493,211.0,269.0,False,146.957,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",152.0
