meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,qualifying_phase,message
1219,9159,2023-09-15T12:45:13+00:00,,,Other,,,,,RISK OF RAIN FOR F1 SECOND PRACTICE SESSION IS 0%
1219,9159,2023-09-15T12:54:13+00:00,,,Other,,,,,BLUE HEAD PADDING MATERIAL MUST BE USED
1219,9159,2023-09-15T13:00:00+00:00,,,Flag,GREEN,Track,,,GREEN LIGHT - PIT EXIT OPEN
1219,9159,2023-09-15T13:00:00.278000+00:00,,,SessionStatus,,,,,SESSION STARTED
1219,9159,2023-09-15T13:29:39+00:00,2.0,,CarEvent,,,,,CAR 2 (SAR) OFF TRACK AND CONTINUED AT TURN 19
1219,9159,2023-09-15T14:00:00+00:00,,,Flag,CHEQUERED,Track,,,CHEQUERED FLAG
1219,9159,2023-09-15T14:00:00.292000+00:00,,,SessionStatus,,,,,SESSION FINISHED
1219,9159,2023-09-15T14:00:17+00:00,,,Other,,,,,FIRST CAR TO TAKE THE FLAG - CAR 81 (PIA)
1219,9159,2023-09-15T14:08:46+00:00,,,Flag,DOUBLE YELLOW,Sector,9.0,,DOUBLE YELLOW IN TRACK SECTOR 9
1219,9159,2023-09-15T14:09:23+00:00,,,Flag,CLEAR,Sector,9.0,,CLEAR IN TRACK SECTOR 9
1219,9159,2023-09-15T14:09:28+00:00,,,Flag,DOUBLE YELLOW,Sector,9.0,,DOUBLE YELLOW IN TRACK SECTOR 9
1219,9159,2023-09-15T14:09:32+00:00,,,Flag,DOUBLE YELLOW,Sector,6.0,,DOUBLE YELLOW IN TRACK SECTOR 6
1219,9159,2023-09-15T14:09:33+00:00,,,Other,,,,,DRS DISABLED IN ZONE 1
1219,9159,2023-09-15T14:09:39+00:00,,,Flag,CLEAR,Sector,6.0,,CLEAR IN TRACK SECTOR 6
1219,9159,2023-09-15T14:09:39+00:00,,,Other,,,,,DRS ENABLED IN ZONE 1
