meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1219,9159,1,2,1,6,MEDIUM,0
1219,9159,1,40,1,9,MEDIUM,0
1219,9159,1,63,1,9,MEDIUM,0
1219,9159,1,27,1,6,MEDIUM,0
1219,9159,1,18,1,8,MEDIUM,0
1219,9159,1,23,1,5,HARD,0
1219,9159,1,77,1,8,HARD,0
1219,9159,1,14,1,8,MEDIUM,0
1219,9159,1,24,1,10,MEDIUM,0
1219,9159,1,4,1,6,HARD,0
1219,9159,1,31,1,8,HARD,0
1219,9159,1,44,1,4,MEDIUM,0
1219,9159,1,22,1,10,MEDIUM,0
1219,9159,1,11,1,10,MEDIUM,0
1219,9159,1,55,1,8,MEDIUM,0
1219,9159,1,20,1,8,MEDIUM,0
1219,9159,1,10,1,10,HARD,0
1219,9159,1,81,1,8,MEDIUM,0
1219,9159,1,16,1,7,MEDIUM,0
1219,9159,1,1,1,8,MEDIUM,0
1219,9159,2,44,4,7,MEDIUM,0
1219,9159,2,2,6,9,MEDIUM,5
1219,9159,2,27,6,7,MEDIUM,5
1219,9159,2,16,7,10,MEDIUM,6
1219,9159,3,2,9,15,SOFT,0
1219,9159,2,55,8,11,SOFT,0
1219,9159,3,16,10,13,SOFT,0
1219,9159,2,14,8,14,SOFT,0
1219,9159,2,77,8,14,SOFT,0
1219,9159,2,4,6,12,SOFT,0
1219,9159,2,18,8,15,SOFT,0
1219,9159,2,40,9,15,SOFT,0
1219,9159,3,44,7,12,SOFT,0
1219,9159,2,22,10,14,SOFT,0
1219,9159,2,20,8,14,SOFT,0
1219,9159,2,10,10,16,SOFT,0
1219,9159,2,31,8,14,SOFT,0
1219,9159,2,81,8,14,SOFT,0
1219,9159,2,63,9,15,SOFT,0
1219,9159,2,1,8,13,SOFT,0
1219,9159,2,24,10,13,SOFT,0
1219,9159,3,55,11,14,SOFT,3
1219,9159,3,27,7,13,SOFT,0
1219,9159,4,16,13,16,SOFT,3
1219,9159,2,11,10,13,SOFT,0
1219,9159,3,22,14,17,SOFT,4
1219,9159,3,24,13,16,SOFT,0
1219,9159,3,11,13,16,SOFT,3
1219,9159,4,2,15,16,SOFT,6
1219,9159,4,55,14,26,MEDIUM,7
1219,9159,3,14,14,15,SOFT,6
1219,9159,5,2,16,28,MEDIUM,0
1219,9159,4,44,12,23,MEDIUM,6
1219,9159,3,40,15,27,MEDIUM,8
1219,9159,3,4,12,19,SOFT,6
1219,9159,5,16,16,27,MEDIUM,9
1219,9159,3,20,14,25,SOFT,0
1219,9159,3,77,14,15,SOFT,0
1219,9159,3,31,14,25,HARD,7
1219,9159,4,22,17,27,MEDIUM,9
1219,9159,3,63,15,25,MEDIUM,8
1219,9159,4,14,15,25,MEDIUM,7
1219,9159,3,1,13,23,MEDIUM,7
1219,9159,3,81,14,15,SOFT,6
1219,9159,3,18,15,25,MEDIUM,7
1219,9159,4,77,15,24,HARD,0
1219,9159,4,27,13,22,MEDIUM,6
1219,9159,4,24,16,17,SOFT,6
1219,9159,4,81,15,23,MEDIUM,7
1219,9159,3,10,16,24,HARD,9
1219,9159,5,24,17,25,MEDIUM,9
1219,9159,4,11,16,23,MEDIUM,9
1219,9159,4,4,19,23,HARD,5
