date,session_key,driver_number,gap_to_leader,interval,meeting_key
2026-07-05T14:04:02.717000+00:00,11326,1,0.92,0.351,1289
2026-07-05T14:04:06.914000+00:00,11326,1,1.771,,1289
2026-07-05T14:04:10.606000+00:00,11326,1,1.987,0.048,1289
2026-07-05T14:04:14.629000+00:00,11326,1,2.282,0.15,1289
2026-07-05T14:04:20.769000+00:00,11326,1,2.488,0.347,1289
2026-07-05T14:04:24.562000+00:00,11326,1,2.459,0.29,1289
2026-07-05T14:04:28.544000+00:00,11326,1,2.168,0.055,1289
2026-07-05T14:04:29.782000+00:00,11326,1,2.094,0.851,1289
2026-07-05T14:04:35.309000+00:00,11326,1,2.881,0.282,1289
2026-07-05T14:04:40.875000+00:00,11326,1,3.206,0.268,1289
2026-07-05T14:04:46.259000+00:00,11326,1,3.038,0.224,1289
2026-07-05T14:04:50.068000+00:00,11326,1,2.84,0.298,1289
2026-07-05T14:04:54.167000+00:00,11326,1,3.059,0.389,1289
2026-07-05T14:04:56.745000+00:00,11326,1,3.098,0.408,1289
2026-07-05T14:04:59.374000+00:00,11326,1,3.136,0.427,1289
2026-07-05T14:05:03.282000+00:00,11326,1,3.481,0.541,1289
2026-07-05T14:05:07.917000+00:00,11326,1,3.626,0.587,1289
2026-07-05T14:05:10.406000+00:00,11326,1,3.639,0.608,1289
2026-07-05T14:05:12.854000+00:00,11326,1,3.653,0.649,1289
2026-07-05T14:05:14.862000+00:00,11326,1,3.62,0.687,1289
2026-07-05T14:05:17.935000+00:00,11326,1,3.639,0.712,1289
2026-07-05T14:05:23.173000+00:00,11326,1,3.761,0.928,1289
2026-07-05T14:05:24.517000+00:00,11326,1,3.76,1.016,1289
2026-07-05T14:05:30.248000+00:00,11326,1,3.937,1.034,1289
2026-07-05T14:05:31.757000+00:00,11326,1,4.069,1.095,1289
2026-07-05T14:05:33.854000+00:00,11326,1,4.174,1.145,1289
2026-07-05T14:05:34.742000+00:00,11326,1,4.179,1.154,1289
2026-07-05T14:05:39.585000+00:00,11326,1,3.992,1.171,1289
2026-07-05T14:05:42.963000+00:00,11326,1,3.94,0.993,1289
2026-07-05T14:05:46.393000+00:00,11326,1,3.998,0.887,1289
2026-07-05T14:05:50.610000+00:00,11326,1,4.299,1.034,1289
2026-07-05T14:05:56.551000+00:00,11326,1,4.281,1.032,1289
2026-07-05T14:06:00.386000+00:00,11326,1,4.311,1.077,1289
2026-07-05T14:06:04.637000+00:00,11326,1,4.363,1.179,1289
2026-07-05T14:06:05.889000+00:00,11326,1,4.403,1.219,1289
2026-07-05T14:06:10.969000+00:00,11326,1,4.588,1.037,1289
2026-07-05T14:06:16.432000+00:00,11326,1,4.709,0.974,1289
2026-07-05T14:06:21.863000+00:00,11326,1,4.571,1.061,1289
2026-07-05T14:06:25.706000+00:00,11326,1,4.349,1.092,1289
2026-07-05T14:06:29.712000+00:00,11326,1,4.45,0.986,1289
2026-07-05T14:06:32.247000+00:00,11326,1,4.47,0.974,1289
2026-07-05T14:06:34.861000+00:00,11326,1,4.482,0.964,1289
2026-07-05T14:06:38.671000+00:00,11326,1,4.744,0.926,1289
2026-07-05T14:06:43.252000+00:00,11326,1,4.8,0.918,1289
2026-07-05T14:06:45.772000+00:00,11326,1,4.805,1.013,1289
2026-07-05T14:06:48.182000+00:00,11326,1,4.818,1.182,1289
2026-07-05T14:06:50.193000+00:00,11326,1,4.804,1.343,1289
2026-07-05T14:06:53.175000+00:00,11326,1,4.832,1.263,1289
2026-07-05T14:06:58.306000+00:00,11326,1,4.874,1.216,1289
2026-07-05T14:06:59.593000+00:00,11326,1,4.847,1.209,1289
2026-07-05T14:07:05.300000+00:00,11326,1,5.007,1.067,1289
2026-07-05T14:07:06.706000+00:00,11326,1,5.079,1.079,1289
2026-07-05T14:07:08.696000+00:00,11326,1,5.104,1.069,1289
2026-07-05T14:07:09.561000+00:00,11326,1,5.099,1.071,1289
2026-07-05T14:07:14.402000+00:00,11326,1,4.913,1.104,1289
2026-07-05T14:07:17.709000+00:00,11326,1,4.835,1.139,1289
2026-07-05T14:07:21.940000+00:00,11326,1,4.911,1.174,1289
2026-07-05T14:07:25.264000+00:00,11326,1,5.099,1.208,1289
2026-07-05T14:07:31.221000+00:00,11326,1,5.103,0.817,1289
2026-07-05T14:07:35.106000+00:00,11326,1,5.136,0.791,1289
2026-07-05T14:07:39.367000+00:00,11326,1,5.229,0.902,1289
2026-07-05T14:07:40.630000+00:00,11326,1,5.286,0.903,1289
2026-07-05T14:07:45.657000+00:00,11326,1,5.524,0.687,1289
2026-07-05T14:07:51.235000+00:00,11326,1,5.763,0.727,1289
2026-07-05T14:07:56.627000+00:00,11326,1,5.611,0.735,1289
2026-07-05T14:08:00.424000+00:00,11326,1,5.369,0.694,1289
2026-07-05T14:08:04.464000+00:00,11326,1,5.553,0.617,1289
2026-07-05T14:08:07.020000+00:00,11326,1,5.578,0.6,1289
2026-07-05T14:08:09.665000+00:00,11326,1,5.604,0.607,1289
2026-07-05T14:08:13.522000+00:00,11326,1,5.962,0.512,1289
