date,session_key,stop_duration,driver_number,meeting_key,lap_number,pit_duration,lane_duration
2026-07-05T14:48:53.303000+00:00,11326,,1,1289,28,28.8,28.8
2026-07-05T15:04:55.474000+00:00,11326,,1,1289,38,29.8,29.8
2026-07-05T15:21:31.210000+00:00,11326,,1,1289,48,28.4,28.4
2026-07-05T14:31:12.628000+00:00,11326,,3,1289,17,28.7,28.7
2026-07-05T15:04:38.769000+00:00,11326,,3,1289,38,28.9,28.9
2026-07-05T14:46:11.109000+00:00,11326,,5,1289,26,28.6,28.6
2026-07-05T15:20:09.066000+00:00,11326,,5,1289,47,29.9,29.9
2026-07-05T14:34:30.503000+00:00,11326,,6,1289,19,29.9,29.9
2026-07-05T15:05:14.352000+00:00,11326,,6,1289,38,36.4,36.4
2026-07-05T15:19:36.825000+00:00,11326,,6,1289,47,29.6,29.6
2026-07-05T14:41:36.072000+00:00,11326,,10,1289,23,33.6,33.6
2026-07-05T15:22:41.160000+00:00,11326,,10,1289,48,28.7,28.7
2026-07-05T14:38:39.595000+00:00,11326,,11,1289,21,29.3,29.3
2026-07-05T15:19:42.582000+00:00,11326,,11,1289,46,29.8,29.8
2026-07-05T14:59:25.087000+00:00,11326,,12,1289,35,28.9,28.9
2026-07-05T15:09:41.585000+00:00,11326,,12,1289,41,41.2,41.2
2026-07-05T15:13:31.663000+00:00,11326,,12,1289,43,33.6,33.6
2026-07-05T14:37:30.798000+00:00,11326,,14,1289,20,28.7,28.7
2026-07-05T15:21:17.735000+00:00,11326,,14,1289,46,29.9,29.9
2026-07-05T14:43:45.836000+00:00,11326,,16,1289,25,28.4,28.4
2026-07-05T15:20:34.854000+00:00,11326,,16,1289,48,28.8,28.8
2026-07-05T14:34:11.122000+00:00,11326,,18,1289,18,28.7,28.7
2026-07-05T15:21:40.753000+00:00,11326,,18,1289,46,46.2,46.2
2026-07-05T14:06:54.499000+00:00,11326,,23,1289,1,44.1,44.1
2026-07-05T14:28:42.786000+00:00,11326,,23,1289,14,41.2,41.2
2026-07-05T14:43:56.211000+00:00,11326,,23,1289,23,39.6,39.6
2026-07-05T15:03:32.875000+00:00,11326,,23,1289,35,31.4,31.4
2026-07-05T15:12:16.429000+00:00,11326,,23,1289,40,32.5,32.5
2026-07-05T14:31:54.573000+00:00,11326,,27,1289,17,28.9,28.9
2026-07-05T14:59:28.796000+00:00,11326,,27,1289,34,35.8,35.8
2026-07-05T14:49:15.954000+00:00,11326,,30,1289,28,28.7,28.7
2026-07-05T15:19:57.160000+00:00,11326,,30,1289,47,28.5,28.5
2026-07-05T14:38:40.451000+00:00,11326,,31,1289,21,43.2,43.2
2026-07-05T15:21:33.609000+00:00,11326,,31,1289,47,31.2,31.2
2026-07-05T14:47:43.893000+00:00,11326,,41,1289,27,28.9,28.9
2026-07-05T15:20:03.631000+00:00,11326,,41,1289,47,32.1,32.1
2026-07-05T14:39:57.554000+00:00,11326,,43,1289,22,29.3,29.3
2026-07-05T15:20:31.463000+00:00,11326,,43,1289,47,29.4,29.4
2026-07-05T14:40:53.747000+00:00,11326,,44,1289,23,34.8,34.8
2026-07-05T15:21:02.149000+00:00,11326,,44,1289,48,28.7,28.7
2026-07-05T14:36:40.733000+00:00,11326,,55,1289,20,28.8,28.8
2026-07-05T15:23:19.064000+00:00,11326,,55,1289,48,29.2,29.2
2026-07-05T14:40:52.147000+00:00,11326,,63,1289,23,28.6,28.6
2026-07-05T14:58:20.856000+00:00,11326,,63,1289,34,28.3,28.3
2026-07-05T14:52:01.983000+00:00,11326,,77,1289,29,31.5,31.5
2026-07-05T15:20:26.714000+00:00,11326,,77,1289,46,29.5,29.5
2026-07-05T14:08:15.448000+00:00,11326,,81,1289,2,40.5,40.5
2026-07-05T15:02:44.835000+00:00,11326,,81,1289,36,29.5,29.5
2026-07-05T15:21:03.857000+00:00,11326,,81,1289,47,29.0,29.0
2026-07-05T14:51:35.455000+00:00,11326,,87,1289,29,29.9,29.9
2026-07-05T15:21:26.513000+00:00,11326,,87,1289,47,30.2,30.2
