meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1289,11326,1,1,1,28,MEDIUM,0
1289,11326,2,1,29,38,HARD,0
1289,11326,3,1,39,48,MEDIUM,6
1289,11326,4,1,49,52,SOFT,3
1289,11326,1,3,1,17,MEDIUM,0
1289,11326,2,3,18,38,HARD,0
1289,11326,3,3,39,46,MEDIUM,0
1289,11326,1,5,1,26,MEDIUM,0
1289,11326,2,5,27,47,HARD,0
1289,11326,3,5,48,52,SOFT,0
1289,11326,1,6,1,19,MEDIUM,0
1289,11326,2,6,20,38,HARD,0
1289,11326,3,6,39,47,MEDIUM,0
1289,11326,4,6,48,52,SOFT,0
1289,11326,1,10,1,23,MEDIUM,0
1289,11326,2,10,24,48,HARD,0
1289,11326,3,10,49,52,SOFT,0
1289,11326,1,11,1,21,MEDIUM,0
1289,11326,2,11,22,46,HARD,0
1289,11326,3,11,47,52,SOFT,0
1289,11326,1,12,1,35,MEDIUM,0
1289,11326,2,12,36,41,HARD,0
1289,11326,3,12,42,43,MEDIUM,6
1289,11326,4,12,44,52,MEDIUM,8
1289,11326,1,14,1,20,MEDIUM,0
1289,11326,2,14,21,46,HARD,0
1289,11326,3,14,47,51,SOFT,0
1289,11326,1,16,1,25,MEDIUM,0
1289,11326,2,16,26,48,HARD,0
1289,11326,3,16,49,52,SOFT,3
1289,11326,1,18,1,18,MEDIUM,0
1289,11326,2,18,19,46,HARD,0
1289,11326,3,18,47,51,SOFT,0
1289,11326,1,23,1,1,MEDIUM,0
1289,11326,2,23,2,14,HARD,0
1289,11326,3,23,15,23,MEDIUM,7
1289,11326,4,23,24,35,SOFT,2
1289,11326,5,23,36,40,SOFT,3
1289,11326,6,23,41,43,SOFT,3
1289,11326,1,27,1,17,MEDIUM,0
1289,11326,2,27,18,34,HARD,0
1289,11326,3,27,35,36,SOFT,0
1289,11326,1,30,1,28,MEDIUM,0
1289,11326,2,30,29,47,HARD,0
1289,11326,3,30,48,52,SOFT,3
1289,11326,1,31,1,21,MEDIUM,0
1289,11326,2,31,22,47,HARD,0
1289,11326,3,31,48,52,SOFT,0
1289,11326,1,41,1,27,MEDIUM,0
1289,11326,2,41,28,47,HARD,0
1289,11326,3,41,48,52,SOFT,0
1289,11326,1,43,1,22,MEDIUM,0
1289,11326,2,43,23,47,HARD,0
1289,11326,3,43,48,52,SOFT,0
1289,11326,1,44,1,23,MEDIUM,0
1289,11326,2,44,24,48,HARD,0
1289,11326,3,44,49,52,SOFT,3
1289,11326,1,55,1,20,MEDIUM,0
1289,11326,2,55,21,48,HARD,0
1289,11326,3,55,49,52,SOFT,0
1289,11326,1,63,1,23,MEDIUM,0
1289,11326,2,63,24,34,HARD,0
1289,11326,3,63,35,52,MEDIUM,6
1289,11326,1,77,1,29,MEDIUM,0
1289,11326,2,77,30,46,HARD,0
1289,11326,3,77,47,52,SOFT,0
1289,11326,1,81,1,2,MEDIUM,0
1289,11326,2,81,3,36,HARD,0
1289,11326,3,81,37,47,MEDIUM,0
1289,11326,4,81,48,52,SOFT,3
1289,11326,1,87,1,29,MEDIUM,0
1289,11326,2,87,30,47,HARD,0
1289,11326,3,87,48,52,SOFT,3
