date,session_key,meeting_key,gap_to_leader,interval,driver_number
2026-05-03T17:04:08.035000+00:00,11280,1284,0.113,0.147,1
2026-05-03T17:04:11.035000+00:00,11280,1284,0.479,0.385,1
2026-05-03T17:04:16.218000+00:00,11280,1284,0.983,0.287,1
2026-05-03T17:04:21.519000+00:00,11280,1284,1.956,0.412,1
2026-05-03T17:04:25.555000+00:00,11280,1284,2.001,0.453,1
2026-05-03T17:04:29.053000+00:00,11280,1284,2.118,0.54,1
2026-05-03T17:04:31.528000+00:00,11280,1284,2.194,0.605,1
2026-05-03T17:04:35.171000+00:00,11280,1284,2.241,0.507,1
2026-05-03T17:04:40.251000+00:00,11280,1284,2.396,0.608,1
2026-05-03T17:04:43.377000+00:00,11280,1284,2.357,,1
2026-05-03T17:04:46.718000+00:00,11280,1284,2.256,0.581,1
2026-05-03T17:04:49.360000+00:00,11280,1284,2.168,0.559,1
2026-05-03T17:04:52.551000+00:00,11280,1284,2.026,0.534,1
2026-05-03T17:04:56.461000+00:00,11280,1284,2.108,0.744,1
2026-05-03T17:05:01.883000+00:00,11280,1284,2.097,0.674,1
2026-05-03T17:05:05.566000+00:00,11280,1284,2.198,0.725,1
2026-05-03T17:05:09.878000+00:00,11280,1284,2.263,0.757,1
2026-05-03T17:05:14.593000+00:00,11280,1284,2.346,0.834,1
2026-05-03T17:05:18.851000+00:00,11280,1284,2.355,0.916,1
2026-05-03T17:05:23.301000+00:00,11280,1284,2.206,0.9,1
2026-05-03T17:05:27.424000+00:00,11280,1284,2.009,0.903,1
2026-05-03T17:05:29.661000+00:00,11280,1284,2.037,0.946,1
2026-05-03T17:05:33.933000+00:00,11280,1284,1.975,0.89,1
2026-05-03T17:06:04.499000+00:00,11280,1284,2.152,0.98,1
2026-05-03T17:06:08.086000+00:00,11280,1284,2.248,0.896,1
2026-05-03T17:06:12.986000+00:00,11280,1284,2.305,0.901,1
2026-05-03T17:06:16.170000+00:00,11280,1284,2.29,0.906,1
2026-05-03T17:06:19.461000+00:00,11280,1284,2.162,0.854,1
2026-05-03T17:06:22.009000+00:00,11280,1284,1.912,0.746,1
2026-05-03T17:06:25.154000+00:00,11280,1284,1.558,0.65,1
2026-05-03T17:06:29.186000+00:00,11280,1284,1.607,0.739,1
2026-05-03T17:06:34.750000+00:00,11280,1284,1.81,0.882,1
2026-05-03T17:06:38.462000+00:00,11280,1284,1.98,0.924,1
2026-05-03T17:06:42.783000+00:00,11280,1284,2.105,0.913,1
2026-05-03T17:06:47.501000+00:00,11280,1284,2.205,1.01,1
2026-05-03T17:06:51.753000+00:00,11280,1284,2.185,1.051,1
2026-05-03T17:06:56.151000+00:00,11280,1284,1.99,0.989,1
2026-05-03T17:07:00.218000+00:00,11280,1284,1.752,0.951,1
2026-05-03T17:07:02.347000+00:00,11280,1284,1.71,0.843,1
2026-05-03T17:07:06.668000+00:00,11280,1284,1.764,0.808,1
2026-05-03T17:07:09.744000+00:00,11280,1284,1.802,0.802,1
2026-05-03T17:07:12.853000+00:00,11280,1284,1.774,0.743,1
2026-05-03T17:07:13.635000+00:00,11280,1284,1.755,0.706,1
2026-05-03T17:07:16.649000+00:00,11280,1284,1.689,0.628,1
2026-05-03T17:07:18.939000+00:00,11280,1284,1.859,0.694,1
2026-05-03T17:07:23.395000+00:00,11280,1284,1.934,0.729,1
2026-05-03T17:07:27.407000+00:00,11280,1284,1.881,0.657,1
2026-05-03T17:07:31.415000+00:00,11280,1284,1.684,0.741,1
2026-05-03T17:07:34.918000+00:00,11280,1284,1.662,0.786,1
2026-05-03T17:07:37.313000+00:00,11280,1284,1.788,0.8,1
2026-05-03T17:07:40.888000+00:00,11280,1284,1.892,0.668,1
2026-05-03T17:07:45.981000+00:00,11280,1284,1.981,0.705,1
2026-05-03T17:07:49.153000+00:00,11280,1284,1.943,0.713,1
2026-05-03T17:07:52.452000+00:00,11280,1284,1.801,0.696,1
2026-05-03T17:07:55.001000+00:00,11280,1284,1.55,0.656,1
2026-05-03T17:07:58.152000+00:00,11280,1284,1.208,0.592,1
2026-05-03T17:08:02.219000+00:00,11280,1284,1.385,0.737,1
2026-05-03T17:08:07.810000+00:00,11280,1284,1.625,0.839,1
2026-05-03T17:08:11.532000+00:00,11280,1284,1.781,0.829,1
2026-05-03T17:08:15.835000+00:00,11280,1284,1.868,0.811,1
2026-05-03T17:08:20.610000+00:00,11280,1284,1.98,0.83,1
2026-05-03T17:08:24.810000+00:00,11280,1284,1.94,0.833,1
2026-05-03T17:08:29.210000+00:00,11280,1284,1.722,0.821,1
2026-05-03T17:08:33.286000+00:00,11280,1284,1.47,0.822,1
2026-05-03T17:08:35.537000+00:00,11280,1284,1.531,0.772,1
2026-05-03T17:08:39.896000+00:00,11280,1284,1.607,0.779,1
2026-05-03T17:08:43.018000+00:00,11280,1284,1.66,0.794,1
2026-05-03T17:08:46.112000+00:00,11280,1284,1.662,0.765,1
2026-05-03T17:08:46.909000+00:00,11280,1284,1.661,0.745,1
2026-05-03T17:08:49.953000+00:00,11280,1284,1.666,0.727,1
2026-05-03T17:08:52.336000+00:00,11280,1284,1.887,0.882,1
2026-05-03T17:08:56.688000+00:00,11280,1284,1.919,0.907,1
2026-05-03T17:09:00.757000+00:00,11280,1284,1.856,0.862,1
2026-05-03T17:09:04.654000+00:00,11280,1284,1.694,0.951,1
2026-05-03T17:09:08.268000+00:00,11280,1284,1.691,0.918,1
2026-05-03T17:09:10.686000+00:00,11280,1284,1.792,0.949,1
2026-05-03T17:09:14.254000+00:00,11280,1284,1.948,0.971,1
2026-05-03T17:09:19.495000+00:00,11280,1284,1.919,1.089,1
2026-05-03T17:09:22.738000+00:00,11280,1284,1.927,1.148,1
2026-05-03T17:09:26.102000+00:00,11280,1284,1.806,1.171,1
2026-05-03T17:09:28.688000+00:00,11280,1284,1.564,1.166,1
2026-05-03T17:09:31.854000+00:00,11280,1284,1.276,1.183,1
2026-05-03T17:09:35.917000+00:00,11280,1284,1.452,1.299,1
2026-05-03T17:09:41.502000+00:00,11280,1284,1.329,0.988,1
2026-05-03T17:09:45.242000+00:00,11280,1284,1.373,1.001,1
2026-05-03T17:09:49.549000+00:00,11280,1284,1.468,0.948,1
2026-05-03T17:09:54.341000+00:00,11280,1284,1.535,0.879,1
2026-05-03T17:09:58.521000+00:00,11280,1284,1.479,0.868,1
2026-05-03T17:10:02.901000+00:00,11280,1284,1.258,0.86,1
2026-05-03T17:10:06.952000+00:00,11280,1284,0.988,0.881,1
2026-05-03T17:10:09.351000+00:00,11280,1284,0.968,0.965,1
2026-05-03T17:10:13.755000+00:00,11280,1284,0.953,0.714,1
2026-05-03T17:10:16.851000+00:00,11280,1284,0.941,0.741,1
2026-05-03T17:10:19.955000+00:00,11280,1284,0.948,0.74,1
2026-05-03T17:10:20.687000+00:00,11280,1284,0.973,0.745,1
2026-05-03T17:10:23.707000+00:00,11280,1284,1.081,0.761,1
2026-05-03T17:10:26.020000+00:00,11280,1284,1.259,0.878,1
2026-05-03T17:10:30.395000+00:00,11280,1284,1.236,0.753,1
2026-05-03T17:10:34.442000+00:00,11280,1284,1.106,0.625,1
2026-05-03T17:10:38.442000+00:00,11280,1284,1.113,0.507,1
2026-05-03T17:10:41.951000+00:00,11280,1284,0.996,0.477,1
2026-05-03T17:10:44.374000+00:00,11280,1284,0.985,0.466,1
2026-05-03T17:10:48.002000+00:00,11280,1284,0.901,0.42,1
