date,session_key,lap_number,driver_number,meeting_key,stop_duration,lane_duration,pit_duration
2026-05-03T17:51:13.396000+00:00,11280,27,1,1284,,22.5,22.5
2026-05-03T17:14:40.140000+00:00,11280,6,3,1284,,22.5,22.5
2026-05-03T17:59:55.617000+00:00,11280,32,5,1284,,23.9,23.9
2026-05-03T17:55:29.195000+00:00,11280,29,11,1284,,23.2,23.2
2026-05-03T17:49:41.483000+00:00,11280,26,12,1284,,22.1,22.1
2026-05-03T18:14:48.369000+00:00,11280,41,14,1284,,23.1,23.1
2026-05-03T17:42:03.129000+00:00,11280,21,16,1284,,23.3,23.3
2026-05-03T17:42:43.210000+00:00,11280,21,18,1284,,22.6,22.6
2026-05-03T18:08:38.333000+00:00,11280,37,18,1284,,22.0,22.0
2026-05-03T17:51:49.624000+00:00,11280,27,23,1284,,23.0,23.0
2026-05-03T17:06:24.850000+00:00,11280,1,27,1284,,33.7,33.7
2026-05-03T17:58:16.484000+00:00,11280,31,31,1284,,24.0,24.0
2026-05-03T17:53:42.425000+00:00,11280,28,41,1284,,22.7,22.7
2026-05-03T17:57:54.703000+00:00,11280,31,43,1284,,23.0,23.0
2026-05-03T17:51:33.718000+00:00,11280,27,44,1284,,23.7,23.7
2026-05-03T17:53:22.109000+00:00,11280,28,55,1284,,23.5,23.5
2026-05-03T17:40:30.702000+00:00,11280,20,63,1284,,22.0,22.0
2026-05-03T17:15:01.436000+00:00,11280,6,77,1284,,23.5,23.5
2026-05-03T17:42:42.172000+00:00,11280,21,77,1284,,23.8,23.8
2026-05-03T17:57:25.955000+00:00,11280,30,77,1284,,17.1,17.1
2026-05-03T17:53:01.287000+00:00,11280,28,81,1284,,23.0,23.0
2026-05-03T17:50:16.658000+00:00,11280,26,87,1284,,23.4,23.4
