meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,qualifying_phase,message
1284,11280,2026-05-03T16:20:01+00:00,,1.0,Flag,GREEN,Track,,,GREEN LIGHT - PIT EXIT OPEN
1284,11280,2026-05-03T16:30:01+00:00,,1.0,Other,,,,,PIT EXIT CLOSED
1284,11280,2026-05-03T16:34:52+00:00,,1.0,Flag,YELLOW,Sector,18.0,,YELLOW IN TRACK SECTOR 18
1284,11280,2026-05-03T16:34:57+00:00,,1.0,Flag,DOUBLE YELLOW,Sector,18.0,,DOUBLE YELLOW IN TRACK SECTOR 18
1284,11280,2026-05-03T16:37:28+00:00,,1.0,Flag,CLEAR,Sector,18.0,,CLEAR IN TRACK SECTOR 18
1284,11280,2026-05-03T16:37:50+00:00,,1.0,Flag,DOUBLE YELLOW,Sector,18.0,,DOUBLE YELLOW IN TRACK SECTOR 18
1284,11280,2026-05-03T16:37:50+00:00,,1.0,Flag,YELLOW,Sector,18.0,,YELLOW IN TRACK SECTOR 18
1284,11280,2026-05-03T16:37:53+00:00,,1.0,Flag,CLEAR,Sector,18.0,,CLEAR IN TRACK SECTOR 18
1284,11280,2026-05-03T16:37:54+00:00,,1.0,Flag,DOUBLE YELLOW,Sector,18.0,,DOUBLE YELLOW IN TRACK SECTOR 18
1284,11280,2026-05-03T16:39:29+00:00,,1.0,Flag,DOUBLE YELLOW,Sector,17.0,,DOUBLE YELLOW IN TRACK SECTOR 17
1284,11280,2026-05-03T16:39:48+00:00,,1.0,Flag,CLEAR,Sector,17.0,,CLEAR IN TRACK SECTOR 17
1284,11280,2026-05-03T16:43:12+00:00,,1.0,Flag,CLEAR,Sector,18.0,,CLEAR IN TRACK SECTOR 18
1284,11280,2026-05-03T16:45:12+00:00,,1.0,Other,,,,,RISK OF RAIN FOR THE F1 RACE IS 40%
1284,11280,2026-05-03T16:57:05+00:00,,1.0,Other,,,,,OVERTAKE DISABLED
1284,11280,2026-05-03T17:04:02.493000+00:00,,,SessionStatus,,,,,SESSION STARTED
1284,11280,2026-05-03T17:04:03+00:00,,1.0,Flag,GREEN,Track,,,GREEN LIGHT - PIT EXIT OPEN
1284,11280,2026-05-03T17:05:27+00:00,,1.0,Other,,,,,OVERTAKE ENABLED
1284,11280,2026-05-03T17:07:40+00:00,,3.0,Other,,,,,TURN 11 INCIDENT INVOLVING CARS 43 (COL) AND 44 (HAM) NOTED - CAUSING A COLLISION
1284,11280,2026-05-03T17:09:18+00:00,,4.0,Other,,,,,FIA STEWARDS: TURN 11 INCIDENT INVOLVING CARS 43 (COL) AND 44 (HAM) REVIEWED NO FURTHER INVESTIGATION - CAUSING A COLLISION
1284,11280,2026-05-03T17:11:46+00:00,,5.0,Flag,DOUBLE YELLOW,Sector,15.0,,DOUBLE YELLOW IN TRACK SECTOR 15
1284,11280,2026-05-03T17:12:02+00:00,,6.0,Flag,DOUBLE YELLOW,Sector,19.0,,DOUBLE YELLOW IN TRACK SECTOR 19
1284,11280,2026-05-03T17:12:03+00:00,,6.0,Flag,YELLOW,Sector,14.0,,YELLOW IN TRACK SECTOR 14
1284,11280,2026-05-03T17:12:04+00:00,,6.0,Flag,YELLOW,Sector,13.0,,YELLOW IN TRACK SECTOR 13
1284,11280,2026-05-03T17:12:15+00:00,,6.0,SafetyCar,,,,,SAFETY CAR DEPLOYED
1284,11280,2026-05-03T17:12:15+00:00,,6.0,Other,,,,,OVERTAKE DISABLED
1284,11280,2026-05-03T17:12:43+00:00,,6.0,Flag,CLEAR,Sector,19.0,,CLEAR IN TRACK SECTOR 19
1284,11280,2026-05-03T17:13:34+00:00,,6.0,Flag,DOUBLE YELLOW,Sector,18.0,,DOUBLE YELLOW IN TRACK SECTOR 18
1284,11280,2026-05-03T17:15:00+00:00,,7.0,Other,,,,,MARSHALS ON TRACK AT TURN 14
1284,11280,2026-05-03T17:15:45+00:00,,7.0,Other,,,,,MARSHALS ON TRACK AT TURN 17
1284,11280,2026-05-03T17:16:06+00:00,,7.0,Other,,,,,RECOVERY VEHICLE ON TRACK AT TURN 17
1284,11280,2026-05-03T17:16:39+00:00,,8.0,Flag,DOUBLE YELLOW,Sector,16.0,,DOUBLE YELLOW IN TRACK SECTOR 16
1284,11280,2026-05-03T17:16:41+00:00,,8.0,Flag,CLEAR,Sector,15.0,,CLEAR IN TRACK SECTOR 15
1284,11280,2026-05-03T17:16:41+00:00,,8.0,Flag,CLEAR,Sector,16.0,,CLEAR IN TRACK SECTOR 16
1284,11280,2026-05-03T17:16:42+00:00,,8.0,Flag,DOUBLE YELLOW,Sector,15.0,,DOUBLE YELLOW IN TRACK SECTOR 15
1284,11280,2026-05-03T17:16:49+00:00,,8.0,Other,,,,,RECOVERY VEHICLE ON TRACK AT TURN 14
1284,11280,2026-05-03T17:17:00+00:00,,8.0,Other,,,,,TURN 17 INCIDENT INVOLVING CAR 10 (GAS) NOTED - CAUSING A COLLISION
1284,11280,2026-05-03T17:17:08+00:00,,8.0,Other,,,,,FIA STEWARDS: TURN 17 INCIDENT INVOLVING CAR 10 (GAS) UNDER INVESTIGATION - CAUSING A COLLISION
1284,11280,2026-05-03T17:19:18+00:00,,9.0,Other,,,,,FIA STEWARDS: UPDATE: TURN 17 INCIDENT INVOLVING CARS 30 (LAW) AND 10 (GAS) UNDER INVESTIGATION - CAUSING A COLLISION
1284,11280,2026-05-03T17:19:35+00:00,,9.0,Flag,DOUBLE YELLOW,Sector,16.0,,DOUBLE YELLOW IN TRACK SECTOR 16
1284,11280,2026-05-03T17:19:45+00:00,,9.0,Other,,,,,FIA STEWARDS: TURN 17 INCIDENT INVOLVING CARS 30 (LAW) AND 10 (GAS) WILL BE INVESTIGATED AFTER THE RACE - CAUSING A COLLISION
