meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1284,11280,1,1,1,27,MEDIUM,0
1284,11280,2,1,28,57,HARD,0
1284,11280,1,3,1,6,MEDIUM,0
1284,11280,2,3,7,57,HARD,0
1284,11280,1,5,1,32,MEDIUM,0
1284,11280,2,5,33,56,HARD,0
1284,11280,1,6,1,4,HARD,0
1284,11280,1,10,1,4,MEDIUM,0
1284,11280,1,11,1,29,MEDIUM,0
1284,11280,2,11,30,56,HARD,0
1284,11280,1,12,1,26,MEDIUM,0
1284,11280,2,12,27,57,HARD,0
1284,11280,1,14,1,41,MEDIUM,0
1284,11280,2,14,42,56,SOFT,0
1284,11280,1,16,1,21,MEDIUM,0
1284,11280,2,16,22,57,HARD,0
1284,11280,1,18,1,21,MEDIUM,0
1284,11280,2,18,22,37,SOFT,3
1284,11280,3,18,38,56,SOFT,0
1284,11280,1,23,1,27,MEDIUM,3
1284,11280,2,23,28,57,HARD,0
1284,11280,1,27,1,1,MEDIUM,0
1284,11280,2,27,2,7,MEDIUM,0
1284,11280,1,30,1,6,MEDIUM,0
1284,11280,1,31,1,31,MEDIUM,0
1284,11280,2,31,32,56,HARD,0
1284,11280,1,41,1,28,MEDIUM,0
1284,11280,2,41,29,56,HARD,0
1284,11280,1,43,1,31,MEDIUM,0
1284,11280,2,43,32,57,HARD,0
1284,11280,1,44,1,27,MEDIUM,0
1284,11280,2,44,28,57,HARD,0
1284,11280,1,55,1,28,MEDIUM,0
1284,11280,2,55,29,57,HARD,0
1284,11280,1,63,1,20,MEDIUM,0
1284,11280,2,63,21,57,HARD,0
1284,11280,1,77,1,6,MEDIUM,0
1284,11280,2,77,7,21,SOFT,0
1284,11280,3,77,22,30,MEDIUM,0
1284,11280,4,77,31,55,MEDIUM,9
1284,11280,1,81,1,28,MEDIUM,0
1284,11280,2,81,29,57,HARD,0
1284,11280,1,87,1,26,MEDIUM,0
1284,11280,2,87,27,56,HARD,0
