date,session_key,track_temperature,rainfall,wind_direction,wind_speed,humidity,air_temperature,meeting_key,pressure
2026-05-03T16:07:48.447000+00:00,11280,35.0,0,95,0.7,76.4,25.7,1284,1016.2
2026-05-03T16:08:48.456000+00:00,11280,34.7,0,33,0.6,75.9,25.8,1284,1016.2
2026-05-03T16:09:48.450000+00:00,11280,35.3,0,30,1.1,75.9,25.9,1284,1016.2
2026-05-03T16:10:48.460000+00:00,11280,35.2,0,79,0.8,76.7,25.9,1284,1016.2
2026-05-03T16:11:48.460000+00:00,11280,35.5,0,76,1.5,76.3,26.0,1284,1016.1
2026-05-03T16:12:48.469000+00:00,11280,35.4,0,0,0.0,76.0,25.8,1284,1016.2
2026-05-03T16:13:48.451000+00:00,11280,35.0,0,139,1.4,76.6,25.9,1284,1016.2
2026-05-03T16:14:48.463000+00:00,11280,35.3,0,92,0.6,75.9,25.8,1284,1016.2
2026-05-03T16:15:48.457000+00:00,11280,34.9,0,57,0.9,75.9,25.8,1284,1016.1
2026-05-03T16:16:48.461000+00:00,11280,35.2,0,144,0.7,76.4,25.7,1284,1016.1
2026-05-03T16:17:48.466000+00:00,11280,35.3,0,150,0.6,75.8,25.8,1284,1016.2
2026-05-03T16:18:48.462000+00:00,11280,33.8,0,151,3.0,73.4,26.0,1284,1016.1
2026-05-03T16:19:48.467000+00:00,11280,34.4,0,155,2.4,74.1,26.1,1284,1016.1
2026-05-03T16:20:48.457000+00:00,11280,34.3,0,162,1.4,74.6,26.0,1284,1016.1
2026-05-03T16:21:48.469000+00:00,11280,34.9,0,166,0.6,75.1,26.0,1284,1016.1
2026-05-03T16:22:48.460000+00:00,11280,35.3,0,128,0.9,75.7,26.1,1284,1016.0
2026-05-03T16:23:48.472000+00:00,11280,35.5,0,149,0.6,74.6,26.1,1284,1016.0
2026-05-03T16:24:48.458000+00:00,11280,35.5,0,134,1.7,73.9,26.1,1284,1016.0
2026-05-03T16:25:48.485000+00:00,11280,35.8,0,53,0.9,72.5,26.4,1284,1016.0
2026-05-03T16:26:48.467000+00:00,11280,35.8,0,44,0.4,72.9,26.4,1284,1016.0
2026-05-03T16:27:48.461000+00:00,11280,35.2,0,42,0.5,72.4,26.5,1284,1016.0
2026-05-03T16:28:48.475000+00:00,11280,35.8,0,26,0.3,72.6,26.5,1284,1016.0
2026-05-03T16:29:48.477000+00:00,11280,35.8,0,141,0.4,73.7,26.5,1284,1016.0
2026-05-03T16:30:48.470000+00:00,11280,35.6,0,125,2.7,72.6,26.5,1284,1015.9
2026-05-03T16:31:48.477000+00:00,11280,34.8,0,117,2.5,72.0,26.4,1284,1015.9
2026-05-03T16:32:48.478000+00:00,11280,35.8,0,141,1.1,73.6,26.4,1284,1015.9
2026-05-03T16:33:48.479000+00:00,11280,35.6,0,145,1.1,72.3,26.4,1284,1015.8
2026-05-03T16:34:48.473000+00:00,11280,35.7,0,78,0.6,70.9,26.4,1284,1015.8
2026-05-03T16:35:48.479000+00:00,11280,33.5,0,152,3.2,70.4,26.5,1284,1015.8
2026-05-03T16:36:48.470000+00:00,11280,35.5,0,139,1.0,70.5,26.5,1284,1015.8
2026-05-03T16:37:48.479000+00:00,11280,35.5,0,134,2.1,70.7,26.4,1284,1015.8
2026-05-03T16:38:48.486000+00:00,11280,34.4,0,166,1.5,71.2,26.3,1284,1015.8
2026-05-03T16:39:48.482000+00:00,11280,34.7,0,161,0.7,71.4,26.3,1284,1015.8
2026-05-03T16:40:48.483000+00:00,11280,35.4,0,121,0.9,72.6,26.3,1284,1015.8
2026-05-03T16:41:48.472000+00:00,11280,35.6,0,161,0.9,71.9,26.4,1284,1015.9
2026-05-03T16:42:48.472000+00:00,11280,35.9,0,92,0.8,72.0,26.4,1284,1016.0
2026-05-03T16:43:48.487000+00:00,11280,35.7,0,85,1.4,71.8,26.4,1284,1015.9
